Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
ARI,Kyzir White,LB,,,79,86,87,81,86,75,89,85,85,75,24,11,11,9,11,,10,,71,44,49,23,13,11,19,59,52,44,48,42,54,,47,48,88,,,,,,,,,85,84,85,85,62,69,51
ARI,Michael Palardy,P,,,75,77,77,67,58,56,85,52,66,54,40,34,30,24,22,,18,,38,14,16,13,12,13,13,41,14,17,19,16,18,,21,20,17,,,,,,,,,32,19,28,18,13,15,10
ARI,Quez Watkins,WR,"6'0""",193,71,93,94,85,65,41,86,87,78,82,24,15,10,6,18,,6,,84,78,78,74,75,75,67,72,79,36,49,73,75,,41,27,41,,,,,,,,,29,21,38,16,12,16,13
ARI,Royce Newman,OL,"6'5""",310,70,67,74,54,82,83,91,70,72,45,13,6,6,6,6,,6,,22,10,12,10,5,5,12,27,20,26,21,15,12,,69,75,85,,,,,,,,,23,23,25,10,12,12,10
ARI,Nick Leverett,OL,"6'4""",310,68,67,60,55,76,85,84,73,76,45,22,6,6,6,6,,6,,28,15,15,10,5,5,20,25,18,29,15,22,19,,68,75,82,,,,,,,,,34,35,23,12,10,10,10
ARI,Bernhard Seikovits,TE,,,67,81,86,78,68,76,83,80,85,70,33,24,18,14,18,,14,,77,75,75,65,60,54,65,72,68,67,63,58,65,,63,60,67,,,,,,,,,40,31,39,22,15,20,16
ARI,Trishton Jackson,WR,,,66,88,89,84,67,60,81,84,81,82,30,23,18,15,20,,16,,81,78,79,70,69,67,64,71,77,41,47,71,77,,45,32,43,,,,,,,,,31,28,35,23,19,25,19
ARI,Tejhaun Palmer,WR,"6'2""",210,66,91,94,80,63,69,80,84,85,81,25,20,15,15,15,,6,,80,77,79,70,69,68,67,66,78,61,56,70,76,,42,23,45,,,,,,,,,29,26,28,16,18,16,15
ARI,Bryson Green,WR,,,65,89,89,83,53,69,85,85,84,82,31,22,18,13,19,,15,,82,79,82,70,69,67,70,72,78,48,57,69,75,,52,38,48,,,,,,,,,30,28,33,22,16,22,18
ARI,Kyon Barrs,DL,,,65,74,78,68,64,83,74,77,85,59,22,9,9,8,9,,10,,35,26,26,18,13,10,18,38,32,39,36,24,29,,46,46,92,,,,,,,,,78,81,76,63,21,28,20
ARI,Jaden Davis,DB,,,65,91,92,87,63,56,88,86,80,87,29,13,11,9,13,,8,,66,59,66,32,23,19,31,58,70,30,37,68,74,,33,32,51,,,,,,,,,54,54,70,62,69,66,69
ARI,Patrick Jenkins,DL,,,64,74,79,70,60,82,78,78,86,60,21,10,9,7,10,,11,,35,26,26,18,13,10,17,37,32,36,36,26,30,,46,46,88,,,,,,,,,77,80,76,60,20,27,18
ARI,Steven Gilmore,DB,,,64,91,92,86,64,54,87,86,76,87,29,12,12,10,12,,8,,65,56,64,32,23,19,32,57,67,27,34,68,73,,32,31,48,,,,,,,,,49,46,67,62,70,66,71
ARI,Ekow Boye-Doe,DB,,,64,91,92,86,64,55,87,86,77,86,29,12,11,10,12,,8,,65,56,64,32,23,19,32,57,67,29,35,67,73,,32,31,49,,,,,,,,,50,48,67,62,69,66,70
ARI,Keni-H Lovely,DB,,,64,90,91,84,61,60,87,86,82,84,28,13,11,9,13,,9,,66,58,65,32,23,20,31,60,66,38,42,63,69,,34,33,55,,,,,,,,,58,64,70,59,64,64,68
ARI,Anthony Goodlow,DL,,,64,75,79,69,63,81,74,78,85,58,23,10,9,8,9,,9,,38,29,29,19,12,9,18,40,33,40,37,25,30,,46,45,92,,,,,,,,,77,79,74,62,22,29,21
ARI,Elliott Brown,LB,,,64,84,88,79,65,72,82,84,85,74,25,13,11,11,11,,10,,56,47,47,26,14,11,22,53,49,41,43,42,47,,43,43,78,,,,,,,,,77,80,79,63,47,54,39
ARI,Benton Whitley,LB,"6'3""",260,63,82,86,76,60,75,79,82,85,70,25,12,11,9,11,,9,,49,39,40,21,15,11,23,46,41,38,40,34,41,,45,44,79,,,,,,,,,75,78,78,59,44,47,35
ARI,Sincere Haynesworth,OL,,,62,69,72,61,67,83,82,77,86,58,20,10,8,8,8,,8,,28,18,18,15,9,8,15,31,20,29,20,15,17,,67,66,79,,,,,,,,,36,35,34,26,12,13,10
ARI,Milo Eifler,LB,,,62,85,88,77,63,65,85,84,85,73,25,12,9,9,10,,9,,58,46,49,23,15,10,20,54,45,40,38,38,48,,45,45,80,,,,,,,,,80,78,79,63,54,57,50
ARI,Jeremiah Byers,OL,,,62,67,71,59,59,84,81,76,84,53,19,10,9,8,8,,8,,28,19,20,16,9,8,16,29,20,30,23,15,16,,69,68,78,,,,,,,,,34,34,30,22,11,13,10
ARI,Matthew Jones,OL,,,61,66,68,54,65,84,80,73,84,53,20,10,9,8,8,,8,,27,17,19,15,9,8,15,28,22,30,24,18,20,,67,65,78,,,,,,,,,34,37,32,22,12,13,10
ARI,McClendon Curtis,OL,,,61,64,70,58,64,85,81,72,87,49,20,9,8,7,7,,8,,28,19,19,18,9,8,16,26,20,28,27,15,18,,65,65,79,,,,,,,,,33,35,28,24,11,12,11
ARI,Oscar Cardenas,TE,,,60,82,85,77,52,75,81,82,81,71,28,22,16,11,17,,12,,76,74,77,62,57,52,62,72,70,64,61,56,64,,60,60,63,,,,,,,,,39,40,40,27,16,21,18
