Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
ATL,Justin Simmons,DB,,,82,86,88,86,92,68,91,88,82,84,24,14,12,11,13,,10,,74,60,70,32,24,20,28,65,62,42,45,59,68,,34,33,61,,,,,,,,,71,73,79,88,73,80,78
ATL,Ray-Ray McCloud,WR,"5'9""",190,82,89,91,90,88,55,90,85,82,90,39,29,21,17,25,,16,,90,85,85,85,84,82,73,74,89,37,51,80,87,,52,34,43,,,,,,,,,29,22,32,23,17,23,19
ATL,Younghoe Koo,K,"5'9""",185,78,71,74,63,67,47,88,74,69,56,36,33,26,22,20,,17,,36,10,12,10,10,10,12,39,30,18,17,19,16,,15,10,15,,,,,,,,,36,27,27,18,15,20,10
ATL,Kevin King,DB,,,74,90,90,89,78,59,90,90,80,87,28,12,10,9,10,,9,,71,56,70,32,23,18,34,64,65,36,40,64,73,,33,31,55,,,,,,,,,60,65,74,75,70,73,80
ATL,Morgan Fox,DL,"6'3""",275,73,73,76,73,77,82,80,84,90,67,23,6,6,6,6,,6,,35,31,28,19,12,8,16,44,37,33,34,17,28,,45,45,85,,,,,,,,,86,78,77,75,24,29,13
ATL,DJ Chark,WR,"6'3""",200,72,92,91,85,75,63,81,91,79,82,33,22,17,15,18,,14,,81,79,83,70,70,68,74,74,80,50,54,73,78,,49,36,47,,,,,,,,,32,27,37,21,18,26,21
ATL,James Smith-Williams,DL,,,71,83,82,75,75,81,77,79,85,65,23,11,9,10,9,,9,,41,28,30,18,11,8,19,40,33,35,36,31,36,,46,46,89,,,,,,,,,78,79,80,71,29,37,26
ATL,Grayland Arnold,DB,,,68,87,90,85,71,57,89,83,81,84,30,13,11,9,12,,9,,70,57,67,33,23,18,30,61,69,31,35,68,75,,31,30,54,,,,,,,,,58,60,74,69,68,67,69
ATL,Demone Harris,DL,,,68,76,78,70,73,81,76,75,81,59,23,9,8,7,8,,8,,38,26,28,19,12,8,21,38,33,37,35,28,33,,46,46,87,,,,,,,,,78,78,78,71,28,35,25
ATL,Chris Blair,WR,,,67,87,88,83,66,67,82,86,82,80,32,23,19,15,20,,16,,82,80,81,70,69,67,72,74,76,50,57,69,75,,52,37,49,,,,,,,,,36,31,38,22,20,26,21
ATL,Jase McClellan,RB,,,67,89,92,84,67,70,85,84,84,80,33,30,22,17,26,,18,,68,54,54,62,54,46,51,87,79,71,73,72,80,,35,51,40,,,,,,,,,32,29,35,16,12,18,12
ATL,Nick Nash,WR,"6'3""",203,67,87,90,81,71,65,84,82,86,79,65,53,51,48,52,,32,,81,79,78,72,69,63,65,66,78,46,43,66,72,,47,27,37,,,,,,,,,32,38,36,32,22,30,24
ATL,Henry Black,DB,,,67,88,90,84,69,64,88,86,83,82,28,13,11,10,12,,10,,68,56,65,33,23,19,31,61,65,40,41,62,69,,32,31,58,,,,,,,,,63,70,74,66,64,66,69
