Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
BAL,Justin Tucker,K,,,80,73,75,60,66,43,81,55,66,50,41,35,30,26,22,,19,,32,16,17,13,12,12,13,38,21,15,15,17,21,,18,17,16,,,,,,,,,28,22,26,21,12,20,10
BAL,Nelson Agholor,WR,,,77,91,92,87,86,59,84,87,80,83,33,24,19,14,19,,12,,84,80,85,73,72,73,74,73,86,48,57,79,85,,49,31,46,,,,,,,,,31,26,43,22,21,27,19
BAL,Trayvon Mullen,DB,,,73,90,91,85,76,64,90,86,83,83,29,13,11,10,13,,10,,71,56,68,33,23,19,31,62,68,36,37,65,73,,29,28,55,,,,,,,,,61,67,75,72,70,71,78
BAL,Michael Pierce,DL,,,71,62,69,53,81,92,72,68,84,46,22,7,8,6,9,,9,,33,22,19,19,12,8,19,35,27,37,31,16,17,,50,53,92,,,,,,,,,83,75,79,78,12,16,5
BAL,Anthony Miller,WR,"5'11""",199,68,86,89,89,63,67,80,89,78,80,42,31,26,20,32,,15,,80,77,79,70,69,65,67,73,82,47,73,74,81,,51,29,45,,,,,,,,,33,20,37,19,15,21,20
BAL,Marcus Major,RB,,,67,89,90,84,63,71,85,87,85,83,34,25,21,18,25,,20,,66,58,60,63,57,49,51,85,77,72,71,73,79,,39,54,41,,,,,,,,,36,34,35,22,18,23,20
BAL,Deonte Harty,WR,,,67,90,92,87,68,51,83,84,77,89,33,24,20,16,23,,16,,80,74,75,70,69,67,59,70,82,28,37,77,83,,43,28,37,,,,,,,,,28,24,33,22,21,27,19
BAL,Lucas Scott,RB,,,67,89,91,85,60,71,87,88,86,84,32,23,20,17,24,,20,,66,59,61,63,57,49,51,85,77,72,72,73,80,,41,54,42,,,,,,,,,37,34,35,23,19,24,20
BAL,Basil Okoye,DL,,,67,71,76,66,69,86,73,75,82,55,22,10,9,8,9,,9,,36,24,25,19,12,9,19,37,31,41,36,25,29,,45,45,93,,,,,,,,,79,80,77,68,17,23,17
BAL,Malik Hamm,LB,"6'3""",250,66,84,87,78,67,74,80,84,83,71,24,12,11,10,11,,10,,52,41,43,23,15,12,21,48,44,41,40,41,45,,45,46,80,,,,,,,,,77,80,78,65,46,53,36
BAL,Scotty Washington,TE,,,66,82,86,79,69,72,83,81,83,74,34,23,19,15,19,,16,,79,75,77,65,60,54,63,72,69,63,61,59,65,,59,58,63,,,,,,,,,39,33,41,26,16,21,17
BAL,Keith Kirkwood,WR,"6'3""",210,66,88,86,83,69,62,80,84,82,74,22,15,10,6,10,,6,,82,78,81,72,72,71,68,73,73,44,45,68,75,,56,37,48,,,,,,,,,53,41,50,39,42,47,36
BAL,Adedayo Odeleye,DL,,,65,77,80,70,65,80,75,78,83,60,24,10,9,9,9,,8,,39,28,30,19,12,9,20,40,33,39,36,29,33,,44,44,90,,,,,,,,,77,79,76,64,24,32,24
BAL,Xavier Guillory,WR,,,65,89,91,84,61,63,83,84,83,83,32,23,19,15,20,,18,,78,77,78,70,69,68,66,72,78,47,50,69,75,,47,28,39,,,,,,,,,32,30,34,26,24,28,20
BAL,Kaimon Rucker,DL,"6'1""",255,64,81,84,72,53,81,79,84,85,68,19,6,6,6,6,,6,,33,25,24,13,7,5,15,35,34,34,36,27,28,,45,45,66,,,,,,,,,77,77,80,52,36,45,30
BAL,Dayton Wade,WR,,,64,90,91,86,58,58,81,82,82,86,32,24,19,14,21,,17,,78,75,75,71,69,68,61,70,79,41,43,72,78,,43,26,38,,,,,,,,,30,27,36,24,21,26,19
BAL,Marquise Robinson,DB,"6'0""",192,64,91,93,79,56,64,88,83,87,81,22,6,6,6,6,,6,,66,60,66,28,17,12,25,58,65,30,35,64,68,,35,30,53,,,,,,,,,54,56,72,54,67,70,68
BAL,Jahmal Banks,WR,"6'3""",218,63,87,86,77,66,64,86,84,85,82,61,50,49,46,51,,37,,83,79,80,67,65,62,71,72,74,48,48,65,71,,46,30,40,,,,,,,,,25,27,30,23,19,24,23
BAL,Reid Holskey,OL,"6'6""",310,62,69,73,63,56,91,81,71,83,58,15,6,6,6,6,,6,,25,15,15,15,7,5,12,25,10,25,15,10,10,,69,67,79,,,,,,,,,26,25,22,13,11,12,10
BAL,Darrian Dalcourt,OL,,,62,67,71,59,65,85,80,74,85,55,22,10,9,8,8,,8,,27,19,19,15,8,8,16,30,20,29,23,15,16,,68,66,80,,,,,,,,,35,37,34,24,12,13,10
BAL,Chandler Martin,LB,,,62,84,88,78,61,72,82,85,84,73,24,12,11,10,12,,10,,52,46,48,22,15,12,20,50,46,42,42,43,50,,44,44,79,,,,,,,,,77,80,78,60,51,56,43
BAL,Malik Cunningham,WR,"6'0""",188,61,88,90,90,53,63,82,82,92,85,87,74,73,69,77,,82,,76,70,72,60,58,54,56,67,86,45,47,76,76,,22,21,27,,,,,,,,,29,22,27,15,10,12,10
BAL,Jared Penning,OL,"6'5""",319,60,61,63,57,58,82,84,66,85,52,12,6,6,6,6,,6,,21,15,15,14,6,5,11,22,12,20,15,10,10,,69,68,77,,,,,,,,,23,24,29,15,11,12,10
BAL,Desmond Igbinosun,DB,"6'2""",223,60,86,90,74,58,70,85,86,82,78,25,6,6,6,6,,6,,66,53,61,25,16,12,22,56,64,29,32,64,71,,35,30,57,,,,,,,,,54,58,71,55,68,65,67
BAL,Jayson Jones,DL,"6'6""",325,59,62,62,51,60,78,84,60,87,49,20,6,6,6,6,,6,,35,21,20,15,8,5,15,38,24,32,30,17,20,,45,45,88,,,,,,,,,78,80,67,58,16,21,17
BAL,Baylor Cupp,TE,,,59,84,87,79,56,70,82,85,84,75,33,22,17,12,18,,14,,78,79,82,62,57,51,63,71,69,63,60,60,65,,57,58,60,,,,,,,,,40,37,39,27,16,22,17
BAL,William Kwenkeu,LB,"6'1""",235,58,86,92,84,49,72,79,81,86,74,21,22,17,12,15,,10,,53,34,41,15,6,5,15,55,44,47,41,43,55,,45,40,67,,,,,,,,,75,80,74,48,47,53,45
BAL,Devin Leary,QB,"6'1""",215,58,80,82,75,45,54,78,72,83,72,91,78,74,72,76,,76,,29,10,10,10,10,10,15,54,65,31,29,35,55,,14,13,16,,,,,,,,,14,12,24,16,10,12,10
