Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
BUF,Amari Cooper,WR,,,77,90,90,88,83,68,87,86,83,82,37,25,21,18,19,,15,,87,84,86,73,72,71,81,74,85,52,65,76,80,,57,38,51,,,,,,,,,30,21,34,19,17,23,16
BUF,Jake Camarda,P,,,72,84,85,67,59,51,86,79,70,65,37,28,22,17,19,,17,,36,20,21,20,18,17,17,40,27,21,20,23,25,,24,20,26,,,,,,,,,32,25,37,22,13,21,10
BUF,Justin Hollins,LB,,,72,85,88,78,75,78,81,84,85,70,24,12,10,10,11,,10,,52,39,42,25,15,11,23,51,41,37,39,44,48,,45,46,84,,,,,,,,,79,80,82,71,48,53,36
BUF,Darrick Forrest,DB,"5'11""",200,72,91,93,86,68,67,90,92,78,78,24,14,12,10,6,,6,,73,57,68,36,34,32,47,55,65,37,45,65,69,,35,35,62,,,,,,,,,73,86,79,67,66,70,67
BUF,Laviska Shenault Jr.,WR,"6'1""",220,72,87,88,84,71,75,86,89,85,81,34,23,19,14,20,,15,,85,85,88,70,70,67,82,76,82,61,70,72,77,,54,41,54,,,,,,,,,36,28,38,20,18,24,21
BUF,KJ Hamler,WR,"5'9""",178,72,93,95,91,61,58,83,85,81,88,30,20,15,10,26,,15,,78,77,80,73,74,73,65,73,82,31,46,76,81,,54,27,38,,,,,,,,,24,22,30,15,13,22,13
BUF,Darrynton Evans,RB,"5'10""",203,71,93,89,88,69,69,81,87,79,81,40,39,31,27,35,,26,,67,51,49,59,52,44,51,89,78,56,65,75,78,,33,51,36,,,,,,,,,39,34,43,27,27,39,27
BUF,Brad Robbins,P,"6'1""",203,69,75,76,67,51,47,84,68,75,62,36,31,26,21,25,,22,,26,15,15,15,15,15,15,25,19,12,10,21,26,,16,15,15,,,,,,,,,28,28,32,17,11,10,10
BUF,Frank Gore Jr.,RB,"5'8""",198,69,90,92,88,65,65,86,87,82,87,30,25,22,18,23,,20,,67,59,60,63,57,49,50,84,77,61,62,75,84,,34,50,34,,,,,,,,,31,27,32,22,19,23,20
BUF,Deon Cain,WR,,,69,89,89,86,72,59,82,85,80,80,29,23,18,15,20,,16,,81,79,80,69,70,69,70,73,78,45,53,72,79,,49,34,49,,,,,,,,,35,28,38,20,21,24,21
