Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
CAR,Jordan Matthews,TE,,,74,88,88,82,77,71,85,82,88,78,36,21,18,14,17,,14,,78,69,71,65,59,53,60,77,78,71,71,61,75,,58,54,64,,,,,,,,,34,33,44,26,16,25,24
CAR,Josey Jewell,LB,,,74,81,85,79,81,75,88,82,84,72,26,11,11,10,11,,10,,66,48,48,23,13,10,25,57,52,47,43,38,45,,44,46,89,,,,,,,,,82,83,81,80,58,64,49
CAR,Caleb Farley,DB,,,73,90,91,86,74,63,90,87,83,85,28,13,11,9,12,,9,,72,60,72,32,23,19,30,63,69,35,40,67,74,,31,29,54,,,,,,,,,62,67,74,73,71,71,79
CAR,Carlos Basham,LB,,,72,82,87,78,72,78,82,79,87,70,27,13,11,9,12,,9,,48,35,36,21,15,11,23,45,34,32,35,28,33,,45,44,87,,,,,,,,,81,82,83,71,47,48,29
CAR,DeShawn Williams,DL,,,71,71,74,64,80,85,75,73,82,54,22,7,8,7,9,,9,,39,26,25,18,11,7,21,38,32,37,32,25,28,,48,50,90,,,,,,,,,80,76,80,78,25,31,19
CAR,DJ Johnson,LB,"6'4""",260,71,84,88,80,69,78,83,85,89,74,23,11,10,9,10,,9,,52,41,42,22,14,10,24,45,45,36,41,43,44,,45,45,82,,,,,,,,,80,82,81,68,43,51,31
CAR,Jaden Crumedy,DL,"6'4""",301,70,73,81,61,61,84,84,73,86,59,23,6,6,6,6,,6,,34,26,28,13,5,3,15,37,24,32,35,17,21,,45,44,86,,,,,,,,,82,82,77,63,29,45,13
CAR,Mike Boone,RB,,,68,88,90,83,74,68,81,87,80,80,32,29,25,20,20,,18,,63,55,55,62,53,45,54,85,76,64,67,74,81,,36,50,35,,,,,,,,,34,30,39,25,24,27,23
CAR,Kayron Lynch-Adams,RB,,,67,89,90,84,65,71,84,85,84,83,35,26,22,20,26,,22,,66,57,59,63,57,50,51,85,77,72,70,73,79,,39,54,40,,,,,,,,,35,32,35,23,18,23,20
CAR,Raheem Blackshear,RB,"5'9""",190,67,90,93,89,60,55,82,81,82,87,25,25,20,15,22,,15,,68,69,66,65,61,58,57,77,76,58,66,73,81,,33,39,38,,,,,,,,,24,23,36,23,15,20,14
