Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
CHI,Patrick Scales,LS,,,80,71,72,59,68,51,81,58,66,50,43,35,32,28,24,,22,,34,15,17,13,12,12,14,41,19,18,16,16,20,,20,18,19,,,,,,,,,29,25,27,19,10,20,11
CHI,Tarvarius Moore,DB,,,73,89,90,85,77,63,89,87,82,83,28,13,11,9,12,,10,,70,55,69,31,23,18,30,63,67,38,42,65,73,,31,30,56,,,,,,,,,63,68,74,75,68,70,75
CHI,Miles Boykin,WR,"6'4""",220,71,90,88,87,74,68,80,92,77,85,37,31,23,19,25,,10,,83,83,84,73,72,70,73,73,79,45,57,69,78,,57,34,57,,,,,,,,,28,20,34,17,15,21,14
CHI,Tyler Scott,WR,"5'11""",185,71,92,93,84,71,53,81,91,85,87,26,15,10,6,10,,6,,80,81,81,73,74,75,66,73,80,41,45,71,76,,41,25,40,,,,,,,,,40,37,43,34,31,40,32
CHI,Shaun Wade,DB,"6'1""",191,70,90,92,83,70,60,86,89,74,80,22,6,6,6,6,,6,,67,55,62,31,23,20,38,58,63,35,44,63,69,,35,35,59,,,,,,,,,64,61,67,69,68,70,73
CHI,Ricky Stromberg,OL,"6'4""",313,69,64,75,67,71,83,87,79,90,59,23,6,6,6,6,,6,,21,15,12,10,5,5,12,26,15,25,10,10,10,,78,68,75,,,,,,,,,46,51,50,39,12,13,10
CHI,Adrian Colbert,DB,,,68,88,89,83,73,64,86,87,77,80,29,12,10,9,11,,10,,64,51,64,31,23,18,30,60,62,40,43,62,68,,32,31,55,,,,,,,,,60,67,71,69,63,66,71
CHI,Jonathan Kim,K,,,68,77,80,66,49,51,83,74,68,56,35,33,30,25,22,,19,,34,14,16,14,13,12,14,37,20,16,17,16,18,,16,16,18,,,,,,,,,30,27,28,15,13,17,11
CHI,Ian Wheeler,RB,,,68,90,91,86,66,68,86,87,83,85,31,24,20,17,24,,19,,67,58,59,63,57,49,51,85,77,68,68,73,82,,37,52,38,,,,,,,,,35,31,35,22,18,23,19
CHI,Nsimba Webster,WR,,,67,90,91,86,66,55,82,85,79,84,34,24,19,14,21,,17,,79,75,77,70,70,69,63,70,79,37,44,75,81,,45,28,40,,,,,,,,,31,26,36,24,22,28,20
