Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
CIN,Vonn Bell,DB,,,82,88,90,85,87,70,92,87,88,83,27,14,11,10,13,,11,,75,58,67,33,24,20,30,66,69,43,45,63,72,,32,32,63,,,,,,,,,73,83,81,85,72,77,73
CIN,Zack Moss,RB,,,78,87,90,85,84,77,88,84,87,82,35,29,24,19,25,,18,,67,56,53,66,58,48,52,94,84,82,83,75,83,,41,60,43,,,,,,,,,35,33,39,21,17,23,19
CIN,Tedarrell Slaton,DL,,,77,68,73,62,82,91,75,73,85,55,27,12,10,9,10,,9,,38,22,20,19,12,9,13,38,28,46,37,18,25,,49,48,90,,,,,,,,,89,81,82,83,16,23,14
CIN,Daxton Hill,DB,,,73,92,92,89,72,60,91,83,85,88,28,13,11,9,13,,9,,73,59,71,31,23,19,28,62,72,33,40,70,78,,32,30,53,,,,,,,,,60,64,75,71,71,70,75
CIN,Cordell Volson,OL,"6'6""",315,72,63,70,56,78,85,88,78,78,52,25,10,8,6,6,,6,,37,33,35,34,28,28,33,44,44,40,44,30,33,,78,70,79,,,,,,,,,42,40,42,39,15,20,10
CIN,Chris Evans,RB,,,72,90,91,86,75,73,86,92,84,85,33,28,24,20,26,,18,,67,57,56,64,57,49,54,87,79,73,73,75,82,,40,54,40,,,,,,,,,38,30,38,25,21,26,20
CIN,D'Ante Smith,OL,,,67,65,70,61,77,85,85,73,87,53,24,9,8,8,8,,8,,31,19,19,16,8,6,17,32,19,31,23,15,17,,70,69,82,,,,,,,,,36,36,32,23,12,14,10
CIN,Quali Conley,RB,,,67,89,91,85,60,71,87,88,85,84,32,23,20,18,24,,20,,66,59,60,63,56,49,51,85,78,72,72,73,80,,41,54,41,,,,,,,,,36,33,34,24,19,24,20
CIN,Jaylen Key,DB,"6'2""",210,66,87,91,82,66,53,84,87,85,88,24,26,24,21,23,,14,,66,51,60,20,12,10,25,59,61,52,53,63,66,,35,30,64,,,,,,,,,69,79,80,56,64,66,70
CIN,Micah Abraham,DB,,,66,91,92,86,64,58,88,86,81,86,29,13,12,10,13,,9,,67,59,66,33,24,20,31,59,70,32,38,67,74,,32,31,52,,,,,,,,,55,57,70,63,69,66,71
CIN,McTelvin Agim,DL,"6'3""",300,66,73,73,68,65,84,75,75,85,59,19,6,6,6,6,,6,,36,25,20,22,8,3,24,40,38,41,33,17,24,,45,45,81,,,,,,,,,80,79,76,62,22,31,18
CIN,Rashod Owens,WR,,,65,88,89,82,53,72,85,85,85,81,31,22,18,14,19,,15,,82,80,83,70,69,67,73,72,78,53,62,68,74,,55,39,50,,,,,,,,,34,30,34,22,18,24,20
CIN,Jamoi Mayes,WR,,,65,89,90,83,61,63,83,85,84,83,30,23,18,15,20,,18,,78,77,77,70,69,68,65,71,77,46,49,69,75,,46,27,39,,,,,,,,,31,30,33,25,24,28,20
CIN,Isaiah Thomas,LB,"6'5""",266,65,79,84,75,62,79,77,76,87,68,24,12,11,9,11,,9,,46,36,36,21,15,11,23,42,36,36,39,29,35,,45,45,83,,,,,,,,,75,80,78,60,41,44,27
CIN,Kendall Milton,RB,"6'1""",230,65,86,93,82,66,72,81,85,82,76,27,20,15,10,17,,14,,66,50,51,61,54,48,53,86,77,74,66,71,78,,26,47,33,,,,,,,,,31,24,35,13,13,17,13
CIN,Tanner McLachlan,TE,"6'5""",244,64,85,90,71,61,74,81,84,87,68,28,20,15,10,25,,16,,78,76,77,63,58,53,64,72,71,68,65,58,67,,57,55,60,,,,,,,,,40,39,42,18,15,18,20
