Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
CLE,Rodney McLeod,DB,,,80,87,89,86,95,58,90,87,78,85,28,13,10,10,9,,10,,71,49,62,32,22,18,30,60,66,28,32,69,76,,33,32,55,,,,,,,,,59,56,76,88,74,75,71
CLE,Diontae Johnson,WR,"5'10""",183,76,89,91,90,67,61,94,86,83,92,53,48,40,42,49,,44,,84,83,86,77,76,77,82,70,84,42,69,77,86,,47,28,38,,,,,,,,,29,14,38,16,17,20,14
CLE,Jordan Hicks,LB,,,76,83,86,80,84,76,87,86,84,73,26,11,11,10,11,,10,,67,44,47,24,13,10,27,60,51,43,46,44,53,,45,46,91,,,,,,,,,83,83,82,83,58,64,53
CLE,D'Onta Foreman,RB,,,76,87,88,82,88,80,84,83,87,78,34,29,24,18,24,,16,,66,55,50,65,56,47,58,92,83,84,86,75,81,,45,61,46,,,,,,,,,39,34,42,21,17,21,19
CLE,Julian Okwara,LB,"6'5""",250,75,85,88,80,74,78,83,84,84,73,23,10,10,9,9,,9,,54,42,45,22,14,11,25,49,45,39,44,49,50,,46,47,81,,,,,,,,,81,83,81,73,48,56,35
CLE,Jordan Akins,TE,,,74,81,85,78,85,75,85,78,87,73,37,24,20,16,20,,16,,78,70,70,66,61,55,57,74,72,67,64,59,64,,65,62,69,,,,,,,,,38,38,46,26,17,21,18
CLE,Nik Needham,DB,"6'1""",196,72,87,86,86,79,56,88,75,80,87,27,6,6,6,6,,6,,71,58,66,33,27,25,30,60,56,31,38,68,72,,35,35,46,,,,,,,,,63,58,67,77,73,72,73
CLE,Pierre Strong,RB,"5'11""",215,72,91,91,85,74,73,86,86,85,82,35,27,23,17,25,,19,,66,54,53,63,56,48,53,88,79,74,74,75,82,,34,51,38,,,,,,,,,33,33,38,22,18,23,21
CLE,Maurice Hurst,DL,,,72,74,77,68,77,85,75,75,85,57,23,9,8,7,8,,8,,37,25,26,18,11,8,20,38,32,38,35,26,30,,47,47,91,,,,,,,,,80,80,79,76,25,32,22
CLE,Jedrick Wills,OL,,,72,71,75,65,83,86,87,78,88,55,21,9,8,8,8,,8,,27,19,19,17,9,7,18,35,18,23,18,13,15,,71,70,85,,,,,,,,,33,32,31,25,12,12,10
CLE,Dustin Hopkins,K,"6'2""",210,71,73,75,62,58,61,88,73,65,49,43,35,30,25,20,,20,,35,10,12,10,12,10,12,40,10,10,10,10,10,,20,20,15,,,,,,,,,28,15,25,15,10,20,10
CLE,Mike Woods,WR,,,70,91,91,86,65,63,82,87,84,84,28,25,19,15,20,,15,,81,80,81,69,69,69,70,74,80,48,55,71,77,,46,32,47,,,,,,,,,33,30,37,20,22,24,21
CLE,Cameron Mitchell,DB,"6'0""",195,70,90,93,87,68,61,92,84,82,89,28,15,10,10,15,,15,,62,51,57,22,18,18,22,54,70,31,42,67,73,,12,10,41,,,,,,,,,40,56,62,66,73,66,72
CLE,Geoff Swaim,TE,,,70,79,83,76,75,78,79,79,80,69,29,20,15,14,17,,14,,77,71,71,63,57,52,65,73,67,66,67,57,64,,66,62,69,,,,,,,,,38,36,42,27,16,23,17
CLE,Toa Taua,RB,,,70,89,90,84,71,71,85,85,83,83,33,26,22,19,25,,20,,66,57,57,63,57,49,51,86,78,73,72,73,81,,39,54,39,,,,,,,,,36,30,36,23,18,23,19
CLE,Elerson Smith,LB,,,69,83,88,78,70,75,81,93,81,70,25,12,10,9,11,,9,,50,38,41,19,13,10,23,48,40,31,39,40,46,,43,41,75,,,,,,,,,76,78,83,70,47,51,44
CLE,Khaleke Hudson,LB,,,69,87,90,82,71,75,85,84,81,72,25,11,11,11,10,,10,,59,46,49,22,14,9,22,54,48,40,41,46,54,,41,40,75,,,,,,,,,77,79,82,68,59,64,48
CLE,Tre' McKitty,TE,,,69,85,88,81,66,74,86,86,88,68,36,25,19,15,20,,15,,79,77,79,65,60,54,66,75,76,69,66,64,69,,62,60,65,,,,,,,,,37,35,41,24,17,21,16
CLE,David Bell,WR,"6'1""",212,69,86,90,79,76,68,87,85,83,76,25,20,15,15,15,,6,,85,81,82,73,71,66,74,79,78,57,55,66,74,,41,27,40,,,,,,,,,21,20,32,15,14,19,13
CLE,Brent Matiscik,LS,,,68,77,80,65,49,51,83,71,68,56,34,32,29,24,24,,19,,34,14,16,14,13,12,14,39,20,16,17,16,17,,16,16,19,,,,,,,,,31,26,27,14,13,18,12
CLE,Nick Harris,OL,,,67,71,75,64,79,82,85,75,87,57,23,9,8,8,8,,8,,29,19,19,17,9,7,18,33,19,25,20,13,15,,68,68,83,,,,,,,,,34,29,33,22,12,13,10
CLE,Tony Brown,DB,"6'0""",198,67,91,91,85,70,60,86,81,77,81,29,12,10,9,12,,8,,63,49,61,32,23,17,30,58,65,38,43,65,70,,32,31,53,,,,,,,,,57,62,69,66,65,64,69
CLE,Ahmani Marshall,RB,,,67,89,91,85,62,71,86,86,85,84,33,24,21,19,25,,21,,66,58,60,63,56,49,51,85,77,72,71,73,80,,41,54,41,,,,,,,,,36,32,35,24,18,23,20
CLE,Luke Floriea,WR,,,65,89,90,83,61,62,83,85,85,83,29,24,18,15,21,,17,,78,77,77,70,70,68,64,71,77,46,48,69,75,,46,27,40,,,,,,,,,31,30,33,25,23,28,21
CLE,Michael Dunn,OL,,,65,66,68,59,79,85,81,70,83,50,23,9,8,8,8,,8,,32,19,20,18,9,7,19,35,17,25,20,14,16,,68,67,80,,,,,,,,,36,29,31,23,12,14,10
CLE,Sal Cannella,TE,,,65,85,88,81,67,70,84,83,83,75,35,24,19,15,20,,16,,78,74,78,65,60,55,62,71,71,62,58,60,68,,57,57,60,,,,,,,,,38,34,39,26,17,21,16
CLE,Roy Mbaeteka,OL,,,65,65,68,57,70,85,80,70,81,46,21,9,9,9,8,,8,,29,20,20,17,8,6,18,33,17,27,22,14,16,,70,69,80,,,,,,,,,33,33,28,21,11,12,10
CLE,Kaden Davis,WR,,,65,89,90,84,62,61,81,85,81,82,31,23,18,15,19,,15,,80,77,79,70,69,67,65,72,76,42,47,69,75,,46,32,43,,,,,,,,,31,28,36,22,18,23,18
