Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
DAL,Tyron Smith,OL,,,82,72,71,63,102,92,87,62,88,49,24,8,9,9,9,,8,,36,21,22,20,10,6,19,43,15,22,20,13,15,,77,78,89,,,,,,,,,33,27,33,22,12,13,10
DAL,Linval Joseph,DL,,,79,67,71,58,93,97,72,63,83,44,25,10,10,8,8,,7,,33,22,24,19,11,7,21,37,27,35,27,16,19,,46,49,92,,,,,,,,,87,76,81,88,20,24,11
DAL,Carl Lawson,DL,,,76,81,83,76,82,85,80,79,85,66,22,10,10,10,9,,9,,38,25,28,19,12,8,19,40,31,36,32,25,30,,47,47,93,,,,,,,,,80,81,81,79,29,37,18
DAL,Zack Martin,OL,,,76,63,70,63,97,88,88,65,89,51,25,9,8,8,8,,7,,34,21,20,17,6,4,19,39,20,27,24,15,16,,74,74,86,,,,,,,,,36,32,36,25,13,15,10
DAL,Nick Vigil,LB,,,74,82,86,84,82,77,83,77,86,74,23,10,10,9,9,,9,,61,44,44,26,16,11,24,57,50,39,42,45,52,,47,45,86,,,,,,,,,86,80,82,81,56,62,44
DAL,Andrew Booth,DB,"6'0""",194,72,90,92,87,72,60,90,87,83,86,28,13,10,10,12,,9,,72,61,71,32,23,18,30,62,71,32,38,68,77,,30,29,54,,,,,,,,,60,65,75,71,71,71,76
DAL,Israel Mukuamu,DB,"6'4""",205,71,88,90,79,72,65,86,87,68,77,31,19,13,12,11,,11,,72,56,75,21,15,10,32,59,61,35,45,65,71,,35,35,54,,,,,,,,,66,55,72,71,71,73,80
DAL,Parris Campbell,WR,"6'0""",208,71,92,91,89,63,56,82,89,78,88,26,15,10,6,10,,6,,82,78,79,72,72,72,67,73,83,46,59,76,83,,50,43,50,,,,,,,,,38,23,45,21,16,24,16
DAL,Troy Pride,DB,,,71,90,91,85,73,58,88,84,83,83,29,14,12,10,12,,10,,68,56,66,31,23,19,25,62,67,33,37,66,74,,31,31,55,,,,,,,,,61,64,76,71,69,71,67
DAL,Deuce Vaughn,RB,"5'6""",176,70,89,91,90,52,58,89,83,89,88,24,19,15,14,26,,15,,66,45,47,65,59,54,45,92,83,49,59,73,82,,35,44,27,,,,,,,,,25,21,32,15,10,16,13
