Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
DEN,A.T. Perry,WR,"6'5""",205,70,90,93,85,67,68,86,86,90,81,23,15,10,6,10,,6,,82,82,84,75,74,71,71,74,79,60,53,67,74,,56,34,51,,,,,,,,,38,34,42,23,24,32,31
DEN,Matt Henningsen,DL,"6'3""",291,68,73,77,77,69,82,75,89,87,72,23,9,9,9,9,,9,,33,24,28,16,13,10,22,40,22,33,27,20,22,,48,46,85,,,,,,,,,79,79,72,67,13,17,12
DEN,Quinn Bailey,OL,,,67,65,68,58,75,86,81,68,82,46,22,9,9,8,8,,8,,30,19,20,17,8,6,17,34,18,27,22,15,16,,70,69,80,,,,,,,,,35,32,31,22,12,13,10
DEN,Blake Watson,RB,"5'9""",195,66,91,91,80,67,72,87,91,87,84,37,25,20,16,11,,18,,70,53,57,65,59,52,55,84,77,76,69,72,76,,44,50,39,,,,,,,,,34,28,43,26,18,25,22
DEN,Andrew Farmer,LB,"6'4""",250,66,84,87,78,66,74,79,84,83,71,24,12,11,10,11,,10,,52,43,46,24,15,12,22,48,44,40,42,43,47,,44,45,80,,,,,,,,,77,79,79,64,45,52,36
DEN,Courtney Jackson,WR,,,65,89,90,83,62,62,83,85,84,83,31,24,18,15,20,,17,,78,77,77,70,69,68,65,71,77,47,49,69,75,,46,27,40,,,,,,,,,31,29,33,25,23,28,20
DEN,Thomas Yassmin,TE,,,65,84,88,81,61,73,83,83,85,75,34,24,18,14,18,,15,,78,76,79,65,60,54,65,72,70,66,63,61,67,,60,58,63,,,,,,,,,39,33,39,24,16,22,16
DEN,Kyrese Rowan,WR,,,65,89,90,83,62,62,83,85,84,83,31,24,18,15,20,,17,,78,77,77,70,69,68,65,71,77,47,49,69,75,,46,27,40,,,,,,,,,31,29,33,25,23,28,20
DEN,Delarrin Turner-Yell,DB,"5'11""",200,65,90,92,85,66,53,89,85,74,78,25,15,10,10,15,,12,,69,53,63,34,28,27,23,60,60,35,39,63,69,,33,32,57,,,,,,,,,61,62,69,64,60,68,58
DEN,Joaquin Davis,WR,,,65,89,90,83,61,63,83,85,84,83,30,23,18,15,20,,18,,78,77,77,70,69,68,65,71,77,46,49,69,75,,46,27,40,,,,,,,,,31,30,33,25,23,28,21
DEN,Jordan Miller,DL,,,64,72,77,65,63,85,73,76,85,56,24,10,9,8,9,,9,,35,26,26,18,12,9,18,39,29,40,36,20,25,,47,46,93,,,,,,,,,78,80,75,63,18,24,17
DEN,Jerjuan Newton,WR,,,64,89,90,84,53,63,85,84,83,84,31,23,18,14,20,,15,,80,77,79,70,69,67,65,70,80,42,49,71,77,,48,32,43,,,,,,,,,29,27,33,22,17,23,19
DEN,Caden Prieskorn,TE,,,64,83,87,79,60,73,84,83,84,73,34,23,18,15,19,,16,,77,76,78,64,59,55,63,72,71,66,62,60,67,,61,59,64,,,,,,,,,39,38,41,26,18,22,17
DEN,Garrett Nelson,DL,,,64,80,82,74,63,77,76,81,84,65,23,9,9,8,9,,9,,39,30,31,19,13,9,19,40,35,37,37,31,37,,45,44,89,,,,,,,,,76,79,76,61,29,39,27
DEN,Reese Taylor,DB,,,64,90,91,85,63,58,86,86,83,84,28,12,11,9,12,,10,,66,58,64,31,23,19,27,60,69,33,39,66,73,,31,31,51,,,,,,,,,58,62,71,61,65,64,63
DEN,Quinton Newsome,DB,,,63,90,92,85,61,58,87,86,78,85,28,13,11,10,13,,9,,65,57,64,32,23,20,32,58,65,33,39,64,70,,32,32,51,,,,,,,,,53,54,68,59,67,65,71
DEN,Joshua Pickett,DB,,,63,90,91,84,58,61,86,85,83,83,27,13,11,9,13,,9,,67,60,64,31,24,20,31,59,66,38,42,63,69,,33,32,54,,,,,,,,,60,64,71,58,64,66,69
DEN,Levelle Bailey,LB,"6'2""",225,63,81,78,76,66,69,85,77,83,75,36,6,6,6,6,,6,,68,57,59,21,11,6,16,62,45,36,32,40,48,,45,45,70,,,,,,,,,77,76,79,64,58,64,51
DEN,Clay Webb,OL,"6'4""",312,63,69,78,51,61,87,82,76,81,51,13,6,6,6,6,,6,,21,12,15,13,7,5,15,24,14,21,14,10,10,,70,69,80,,,,,,,,,21,24,22,13,11,12,10
DEN,Jordan Turner,LB,,,62,84,88,78,61,72,83,85,84,74,24,13,11,10,12,,10,,53,47,50,23,15,12,21,51,48,42,44,45,50,,43,43,79,,,,,,,,,77,80,78,60,50,55,43
DEN,J.B. Brown,LB,,,62,84,88,78,61,72,83,85,84,74,24,13,11,10,12,,10,,53,47,50,23,15,12,21,51,48,42,44,45,50,,43,43,79,,,,,,,,,77,80,78,60,50,55,43
DEN,Marques Cox,OL,,,62,67,71,59,59,85,81,76,84,53,20,10,9,8,8,,8,,28,19,20,15,9,8,16,28,21,31,23,16,17,,69,68,78,,,,,,,,,34,34,31,22,11,13,10
DEN,Joseph Michalski,OL,,,62,67,71,59,59,84,81,76,84,53,19,10,9,8,8,,8,,28,19,20,16,9,8,16,29,20,30,23,15,16,,69,68,78,,,,,,,,,34,34,31,22,11,13,10
DEN,Jaden Robinson,DB,,,62,89,91,84,58,60,87,85,83,83,27,12,11,9,13,,9,,67,59,64,31,24,20,31,60,66,38,42,63,69,,34,33,54,,,,,,,,,59,64,70,57,64,65,68
DEN,Kristian Williams,DL,,,60,74,78,65,53,83,78,78,86,59,21,11,10,9,10,,10,,35,24,23,17,10,8,18,34,28,36,33,22,28,,44,44,84,,,,,,,,,77,80,76,55,20,25,20
DEN,Caleb Lohner,TE,"6'7""",256,60,83,81,79,59,75,79,88,83,65,25,15,10,10,10,,10,,74,77,77,64,59,53,57,70,64,58,56,56,60,,53,60,61,,,,,,,,,37,38,43,18,19,22,17
DEN,Sam Ehlinger,QB,"6'1""",222,56,78,79,81,53,67,86,85,90,76,83,77,69,70,74,,77,,70,45,46,36,28,23,21,65,78,63,53,73,69,,25,18,31,,,,,,,,,27,17,29,18,10,13,10
