Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
DET,Allen Robinson,WR,,,75,86,87,83,86,70,84,89,82,80,36,23,18,15,20,,15,,85,85,84,72,71,67,80,77,82,60,66,74,79,,57,40,53,,,,,,,,,40,26,42,24,22,30,25
DET,John Cominsky,DL,,,72,79,81,75,74,81,77,82,84,61,25,10,10,8,8,,9,,42,28,30,19,12,9,19,41,34,38,36,29,33,,46,47,89,,,,,,,,,80,81,83,74,29,37,22
DET,Netane Muti,OL,"6'3""",315,71,67,56,62,66,96,83,68,92,51,17,6,6,6,6,,6,,17,15,15,15,6,5,15,40,24,34,33,21,24,,74,70,88,,,,,,,,,44,50,35,33,11,9,10
DET,Kyle Peko,DL,,,70,70,74,62,79,86,74,71,82,53,22,8,8,7,9,,9,,36,24,24,19,12,8,20,37,30,37,32,23,26,,48,49,89,,,,,,,,,80,76,79,77,21,27,16
DET,Ben Niemann,LB,,,69,84,86,78,74,73,82,81,84,71,27,11,10,10,10,,10,,58,40,42,23,14,12,22,53,44,41,40,41,49,,45,46,80,,,,,,,,,79,79,81,72,54,60,45
DET,Chris Smith,DL,"6'1""",316,69,70,74,75,54,92,74,76,82,61,16,6,6,6,6,,6,,34,20,18,10,6,5,15,28,35,56,49,20,25,,45,45,82,,,,,,,,,83,79,76,54,19,27,15
DET,Ronnie Bell,WR,"6'0""",192,69,88,90,90,62,58,81,91,81,90,47,30,26,21,32,,22,,81,77,83,73,72,70,66,70,79,54,47,72,74,,54,33,46,,,,,,,,,26,25,31,14,13,18,12
DET,Ahmed Hassanein,DL,"6'3""",267,68,80,81,76,72,83,84,79,94,67,25,14,8,7,15,,10,,36,24,23,15,10,7,15,43,29,27,40,27,32,,45,45,79,,,,,,,,,73,76,75,71,24,31,26
DET,Jabari Small,RB,,,68,90,92,87,65,65,86,88,82,87,30,25,21,17,23,,19,,67,59,60,63,57,49,50,84,77,63,64,74,83,,35,50,36,,,,,,,,,33,29,33,21,19,23,20
DET,Luq Barcoo,DB,,,67,90,91,85,69,57,87,87,76,85,29,13,12,11,12,,9,,66,54,63,32,23,19,32,58,66,29,34,66,73,,31,29,50,,,,,,,,,52,50,70,66,69,67,73
DET,Emmanuel Moseley,DB,,,67,88,90,84,71,60,86,86,78,82,29,12,11,9,11,,10,,65,52,64,31,22,18,28,60,65,35,39,65,72,,31,30,53,,,,,,,,,58,62,71,68,65,66,66
DET,Kye Robichaux,RB,,,67,89,91,85,60,71,87,88,86,84,32,23,20,18,24,,20,,66,59,61,63,56,49,51,85,77,72,72,73,80,,41,54,42,,,,,,,,,36,34,34,23,19,24,20
DET,Raequan Williams,DL,,,67,69,75,63,72,80,73,67,81,56,22,9,9,8,9,,9,,35,23,24,17,12,9,19,37,28,37,32,23,25,,46,46,90,,,,,,,,,80,76,78,73,19,25,14
DET,Stantley Thomas-Oliver,DB,,,66,89,91,84,68,59,87,83,79,82,28,12,11,9,12,,8,,65,54,65,31,22,17,31,58,65,35,40,66,72,,29,28,51,,,,,,,,,57,60,71,66,65,66,69
DET,Hendon Hooker,QB,"6'3""",221,66,86,90,86,35,67,82,80,84,83,89,86,75,75,78,,84,,44,16,18,28,22,16,21,53,88,52,65,76,77,,23,15,28,,,,,,,,,21,19,25,16,9,14,10
