Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
GB,Matthew Orzech,LS,,,73,71,72,63,58,59,80,68,73,46,40,30,25,20,19,,17,,39,24,26,20,16,16,19,44,23,22,23,16,19,,26,28,31,,,,,,,,,40,33,34,22,14,19,14
GB,Alex Hale,K,,,73,78,80,66,55,51,85,71,75,54,34,31,29,25,23,,18,,31,14,16,13,13,12,14,40,23,20,17,21,22,,14,14,17,,,,,,,,,31,26,27,16,13,16,11
GB,Corey Ballentine,DB,"5'11""",196,70,89,92,86,73,60,88,90,82,83,28,12,11,9,11,,9,,66,54,66,32,23,18,32,62,67,37,42,66,72,,31,30,55,,,,,,,,,60,67,73,70,66,67,71
GB,Israel Abanikanda,RB,"5'11""",215,69,92,90,83,64,67,83,88,82,85,24,20,15,10,16,,15,,61,49,46,52,45,37,53,86,78,61,62,76,80,,48,49,38,,,,,,,,,43,30,48,40,37,45,40
GB,Johnny Lumpkin,TE,,,67,80,85,78,67,76,83,79,85,72,34,23,18,14,17,,15,,78,74,74,65,60,54,62,72,68,67,64,57,63,,63,59,66,,,,,,,,,41,34,43,24,15,21,18
GB,Cornelius Johnson,WR,"6'3""",208,67,91,91,86,59,63,85,88,88,82,23,15,10,10,15,,15,,77,80,81,73,71,69,71,71,76,50,51,67,75,,46,26,40,,,,,,,,,37,30,40,18,17,21,17
GB,Deslin Alexandre,LB,,,66,83,87,77,66,76,79,83,84,71,25,13,11,11,12,,10,,51,40,41,24,15,12,22,49,43,42,40,40,42,,45,46,78,,,,,,,,,77,80,78,64,42,50,32
GB,Isaiah Dunn,DB,"6'0""",193,66,92,91,88,65,59,87,85,71,83,25,6,6,6,6,,6,,52,42,50,32,28,27,35,55,50,27,30,64,70,,35,35,45,,,,,,,,,47,46,72,66,64,62,70
GB,Cameron Young,DL,,,66,67,73,62,64,88,74,76,87,54,21,11,10,9,11,,10,,34,22,22,19,10,8,17,37,29,37,34,20,23,,47,46,94,,,,,,,,,80,82,77,67,17,23,11
GB,Kaleb Hayes,DB,,,65,89,91,85,63,60,87,87,81,84,28,13,11,10,12,,9,,67,57,65,32,23,19,31,60,67,35,39,64,71,,32,31,54,,,,,,,,,57,63,71,61,66,65,70
