Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
IND,Ronald Darby,DB,,,81,91,92,88,88,61,91,92,78,87,27,14,13,11,12,,9,,73,56,69,33,24,19,28,61,71,31,35,69,78,,31,29,56,,,,,,,,,61,61,76,84,79,79,80
IND,Jerry Hughes,DL,,,81,82,80,80,92,82,77,79,84,68,25,6,8,7,7,,7,,44,31,30,19,10,6,22,43,41,37,38,34,40,,49,50,93,,,,,,,,,81,77,87,90,39,48,26
IND,Damon Arnette,DB,,,74,88,90,86,77,64,91,88,86,85,29,13,10,10,12,,11,,73,58,69,33,23,19,30,65,69,39,42,65,72,,33,32,57,,,,,,,,,64,72,76,72,69,70,74
IND,Irv Smith,TE,"6'2""",240,73,85,86,79,71,76,84,77,93,74,33,25,19,14,17,,14,,78,71,69,64,59,53,63,79,76,72,72,56,69,,59,58,71,,,,,,,,,38,36,43,31,16,27,25
IND,Anthony Averett,DB,,,72,91,91,86,76,56,90,82,79,83,29,12,11,9,12,,8,,70,55,66,33,23,19,32,61,69,31,32,69,77,,32,31,53,,,,,,,,,55,57,73,72,72,70,73
IND,Marlon Davidson,DL,,,71,72,77,69,74,85,76,77,87,58,22,9,8,8,9,,10,,36,25,26,19,13,9,20,42,32,37,36,23,28,,46,46,91,,,,,,,,,81,82,80,73,24,31,19
IND,Haggai Ndubuisi,DL,,,69,72,76,69,74,84,74,75,83,56,21,10,9,8,9,,9,,36,25,26,19,12,10,19,39,32,39,36,27,31,,46,48,92,,,,,,,,,79,78,77,71,21,28,19
IND,Dalton Keene,TE,,,69,84,88,79,66,75,86,85,87,62,33,23,18,15,18,,14,,78,77,79,65,60,54,65,74,75,68,68,63,69,,63,61,66,,,,,,,,,35,34,40,22,18,22,15
IND,Casey Toohill,DL,"6'5""",254,69,85,88,81,58,75,77,89,85,71,18,6,6,6,6,,6,,50,33,32,13,6,3,15,43,26,31,28,24,31,,45,45,77,,,,,,,,,80,77,78,59,33,49,21
IND,Russ Yeast,DB,"5'10""",195,68,86,90,89,70,62,89,89,83,83,25,15,10,10,15,,15,,67,48,60,25,21,18,30,59,66,46,40,65,73,,30,30,46,,,,,,,,,61,65,73,69,64,70,65
IND,Ka'dar Hollman,DB,,,68,90,91,85,71,62,87,87,81,82,28,11,10,9,11,,10,,66,56,65,31,23,18,30,61,67,36,39,65,71,,32,32,53,,,,,,,,,59,65,71,68,66,66,70
IND,J.J. Taylor,RB,"5'6""",185,66,85,88,82,61,64,82,83,78,87,24,20,15,10,15,,15,,67,49,51,61,53,46,43,85,77,79,68,79,83,,26,51,27,,,,,,,,,34,25,43,27,21,30,21
IND,Daniel Jackson,WR,,,65,89,90,83,61,62,83,85,85,83,29,24,18,15,21,,17,,78,77,77,70,70,69,64,71,77,46,48,69,75,,45,27,40,,,,,,,,,31,30,33,25,23,28,21
