Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
JAX,Brandon Scherff,OL,,,80,71,73,66,93,87,90,73,91,54,22,11,11,10,10,,9,,32,20,20,17,7,5,18,37,20,30,23,16,17,,77,79,87,,,,,,,,,35,37,32,23,12,14,10
JAX,Gabe Davis,WR,,,73,89,90,83,78,71,84,88,83,76,33,24,19,15,21,,14,,83,82,87,73,72,71,80,76,81,59,67,71,78,,52,40,51,,,,,,,,,36,32,44,19,17,24,18
JAX,Trenton Irwin,WR,"6'2""",200,70,88,88,82,74,66,81,82,84,77,25,20,15,15,15,,6,,86,82,80,74,74,74,67,71,80,44,42,72,75,,49,33,44,,,,,,,,,29,17,34,16,14,21,13
JAX,Levi Wallace,DB,,,68,87,90,84,74,58,87,83,76,82,31,12,12,10,11,,8,,68,53,67,33,23,18,32,61,65,31,36,68,72,,31,31,51,,,,,,,,,53,53,68,73,69,67,68
JAX,Deantre Prince,DB,"6'0""",183,68,93,93,87,64,56,87,85,78,86,28,12,11,9,12,,8,,68,59,69,32,24,19,30,58,70,30,35,71,76,,33,31,49,,,,,,,,,52,55,69,64,72,68,73
JAX,Chandler Brayboy,WR,"6'0""",205,67,90,91,87,60,64,83,89,89,82,28,20,18,13,19,,17,,75,75,78,73,73,71,70,72,80,51,45,72,75,,45,27,38,,,,,,,,,28,25,34,14,18,23,18
JAX,Zech McPhearson,DB,"5'11""",191,67,88,93,88,67,60,89,93,85,90,20,6,6,6,6,,6,,62,51,65,42,38,37,37,59,72,36,35,66,70,,35,35,45,,,,,,,,,60,51,67,64,66,67,65
JAX,Javon Foster,OL,"6'5""",313,67,62,71,61,72,83,85,79,87,50,15,12,9,6,5,,5,,25,17,18,10,6,5,12,40,10,19,10,10,10,,76,70,81,,,,,,,,,44,40,38,34,20,26,10
JAX,Tremayne Anchrum,OL,,,66,64,69,58,76,85,83,65,87,54,22,9,8,8,8,,8,,32,18,18,16,8,6,16,34,18,31,21,14,16,,68,68,81,,,,,,,,,35,31,32,22,11,13,10
JAX,Eli Pancol,WR,"6'1""",205,66,92,89,85,64,69,79,86,83,83,22,15,10,6,10,,6,,80,77,77,68,69,70,69,75,75,52,46,67,73,,53,25,46,,,,,,,,,27,22,32,18,18,23,18
