Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
LA,Carson Steele,RB,"6'1""",225,70,86,90,82,75,80,85,87,89,78,42,39,37,28,37,,31,,70,61,58,68,60,53,63,85,79,82,79,72,77,,49,50,51,,,,,,,,,41,46,48,24,24,34,26
LA,Mike Edwards,DB,"5'10""",205,70,88,90,85,70,63,91,88,90,81,22,6,6,6,6,,6,,78,53,63,25,16,10,15,60,72,25,39,65,69,,35,35,57,,,,,,,,,63,78,78,67,65,73,73
LA,Shaun Bradley,LB,,,70,86,87,80,73,69,82,79,86,74,25,11,11,11,10,,10,,63,45,47,23,13,11,23,53,49,43,41,43,48,,43,42,82,,,,,,,,,80,81,81,72,56,61,47
LA,Darius Rush,DB,"6'2""",198,69,93,93,85,60,53,89,84,80,81,50,43,41,38,52,,41,,72,67,71,52,48,46,55,63,71,48,45,66,72,,35,25,51,,,,,,,,,49,68,69,60,70,69,77
LA,Marlon Tuipulotu,DL,"6'2""",307,68,69,67,61,70,87,72,75,86,57,10,6,6,6,6,,6,,33,17,17,10,5,3,14,37,19,29,28,17,19,,52,53,84,,,,,,,,,78,76,75,71,15,20,15
LA,Keaontay Ingram,RB,,,68,88,90,83,71,73,83,85,84,80,33,27,23,19,25,,19,,65,53,53,62,53,45,50,88,78,76,76,71,78,,39,52,41,,,,,,,,,34,33,36,20,16,23,18
LA,Jason Brownlee,WR,"6'2""",198,67,86,92,86,58,64,83,93,85,81,30,26,20,12,26,,22,,77,82,85,61,63,67,75,68,81,51,64,74,82,,47,35,44,,,,,,,,,30,34,25,18,18,23,18
LA,Elijah Young,RB,,,67,89,91,85,62,71,86,87,85,84,33,24,21,18,25,,20,,66,59,60,63,57,49,51,85,77,72,71,73,79,,40,54,41,,,,,,,,,36,33,35,23,18,23,20
LA,Justyn Ross,WR,,,66,88,89,83,62,62,82,87,83,80,30,23,19,15,19,,15,,81,80,82,70,69,68,69,73,75,45,55,67,73,,51,37,48,,,,,,,,,34,30,36,22,19,26,20
LA,Jason Taylor,DB,,,66,89,91,85,65,62,86,93,84,84,27,14,11,10,12,,10,,67,59,66,32,23,19,31,61,65,41,44,62,68,,32,30,56,,,,,,,,,62,72,73,63,63,65,69
LA,Eric Scott Jr.,DB,"6'1""",204,66,89,91,84,64,64,87,87,84,83,28,13,11,9,13,,10,,68,58,66,33,24,20,31,61,64,40,42,61,68,,32,31,56,,,,,,,,,60,69,72,61,64,65,73
LA,Siaki Ika,DL,,,66,63,73,60,66,92,73,74,83,50,21,11,9,7,10,,10,,31,24,25,19,12,9,19,38,29,39,34,20,24,,46,45,92,,,,,,,,,80,86,75,64,14,17,15
LA,Hal Presley,WR,,,65,89,90,83,61,63,83,84,84,83,30,23,18,15,20,,18,,78,77,78,70,69,68,65,72,78,46,50,69,75,,47,28,39,,,,,,,,,31,31,34,26,24,28,20
LA,Jimmy Holiday,WR,,,65,89,90,83,61,63,83,84,84,83,30,23,18,15,20,,18,,78,77,78,70,69,68,65,72,78,46,50,69,75,,47,28,39,,,,,,,,,31,31,34,26,24,28,20
LA,BJ Thompson,DL,,,65,82,83,76,63,77,76,84,83,64,24,10,9,8,9,,9,,42,32,34,19,12,9,20,42,39,38,37,34,40,,43,43,88,,,,,,,,,77,81,77,61,31,40,29
LA,Joseph Fortson,TE,,,65,84,86,79,67,71,82,81,86,75,34,20,17,13,17,,14,,77,72,74,63,57,52,60,72,69,66,65,60,67,,58,58,63,,,,,,,,,38,37,41,26,17,24,19
LA,Key'Shawn Smith,WR,,,65,89,90,83,61,63,83,84,84,83,30,23,18,15,20,,18,,78,77,78,70,69,68,65,72,78,46,50,69,75,,47,28,39,,,,,,,,,31,31,34,26,24,28,20
LA,Mac Dalena,WR,,,65,89,90,83,61,63,83,84,84,83,30,23,18,15,20,,18,,78,77,78,70,69,68,65,72,78,46,50,69,75,,47,28,39,,,,,,,,,31,31,34,26,24,28,20
LA,Blake Lynch,LB,,,64,84,86,79,66,70,82,83,84,70,25,11,10,10,10,,9,,57,43,48,22,14,10,21,54,45,38,41,39,50,,44,43,77,,,,,,,,,77,77,79,63,53,59,49
LA,Azizi Hearn,DB,,,64,89,91,83,63,63,87,87,83,83,28,13,11,9,13,,10,,67,58,65,32,23,20,31,61,65,41,43,61,68,,33,32,57,,,,,,,,,61,69,71,60,63,64,70
LA,Geor'Quarius Spivey,TE,,,64,85,88,82,60,71,83,84,84,78,35,24,19,15,19,,15,,79,76,80,65,60,54,64,72,72,64,62,61,68,,57,57,60,,,,,,,,,39,34,39,26,17,22,17
LA,Bailey Zappe,QB,"6'1""",220,64,76,85,76,65,56,88,74,89,74,85,84,76,77,77,,77,,22,13,14,14,12,10,16,67,66,27,32,47,55,,19,17,26,,,,,,,,,24,15,24,16,10,13,10
LA,Fabien Lovett Sr.,DL,"6'3""",316,64,71,77,64,63,86,73,75,85,55,24,10,9,8,9,,9,,35,25,25,18,12,9,18,38,28,41,35,20,24,,46,45,93,,,,,,,,,78,81,75,64,16,21,16
LA,Melvin Smith Jr.,DB,,,63,89,91,84,57,60,86,86,83,83,27,13,11,10,13,,9,,67,59,64,32,24,20,30,59,67,37,41,63,70,,33,32,53,,,,,,,,,59,65,71,58,64,65,69
LA,Malik Herring,DL,"6'3""",275,63,75,79,69,59,78,72,74,78,54,12,6,6,6,6,,6,,34,27,34,24,19,17,26,42,42,33,42,34,41,,45,45,86,,,,,,,,,78,83,71,56,15,21,19
LA,Tre Watson,TE,,,63,85,88,80,54,72,84,87,84,77,32,24,18,14,19,,15,,79,81,83,64,59,54,69,73,73,66,64,63,69,,59,58,62,,,,,,,,,39,34,37,25,18,22,16
LA,Elijhah Badger,WR,,,63,89,90,84,52,63,85,83,83,83,31,23,18,14,20,,16,,80,76,80,70,69,68,66,70,79,42,51,70,76,,49,33,43,,,,,,,,,31,28,33,23,18,24,19
LA,Coziah Izzard,DL,,,63,75,80,69,59,82,78,78,85,60,22,10,9,8,10,,10,,36,26,27,18,13,9,17,37,32,36,36,26,30,,45,44,88,,,,,,,,,76,80,76,60,20,26,19
LA,Jacobe Covington,DB,,,63,89,91,84,57,60,86,86,83,83,27,13,11,10,13,,9,,67,59,64,32,24,20,30,59,67,37,41,63,70,,33,32,53,,,,,,,,,59,65,71,58,64,65,69
LA,McKade Mettauer,OL,,,62,68,72,61,66,83,81,75,85,56,22,10,9,8,8,,8,,28,19,19,15,9,8,16,30,21,29,22,15,17,,67,67,79,,,,,,,,,35,36,34,25,12,13,10
LA,Chukwuebuka Godrick,OL,,,62,68,72,62,68,81,83,75,83,56,21,9,9,8,8,,8,,29,20,20,17,9,7,18,31,19,27,19,14,16,,66,67,79,,,,,,,,,32,33,31,25,12,14,10
LA,Dalton Cooper,OL,"6'7""",315,62,73,72,55,60,86,81,70,82,59,15,6,6,6,6,,6,,23,15,15,15,6,5,14,26,13,25,16,10,10,,71,69,78,,,,,,,,,24,25,31,15,11,11,10
LA,Brandon George,LB,,,62,84,88,78,61,72,83,84,84,74,25,13,11,11,12,,10,,53,46,48,23,15,12,21,52,47,42,42,43,48,,43,43,78,,,,,,,,,77,80,78,60,49,55,42
LA,Glendon Miller,DB,"6'2""",206,62,91,92,81,56,63,86,90,87,83,24,6,6,6,6,,6,,68,58,58,25,18,15,22,62,62,49,45,59,62,,35,35,58,,,,,,,,,63,73,73,53,61,65,60
LA,Major Williams,DB,,,62,89,91,84,57,60,86,86,82,84,27,12,11,10,13,,9,,68,59,64,32,24,20,30,60,66,37,40,63,70,,33,32,53,,,,,,,,,59,65,71,58,65,65,69
LA,Esa Pole,OL,"6'7""",319,61,63,65,52,57,83,82,72,84,57,17,6,6,6,6,,6,,27,24,19,16,7,5,16,24,17,27,15,12,11,,70,70,78,,,,,,,,,25,25,25,13,11,12,10
LA,Cole Christiansen,LB,"6'1""",230,61,82,83,66,60,73,82,80,87,55,25,6,6,6,6,,6,,57,40,35,30,17,10,12,60,57,48,39,40,47,,45,48,77,,,,,,,,,79,77,80,64,47,53,40
LA,Joey Lombard,OL,,,61,67,71,59,59,84,81,75,84,54,20,10,9,8,8,,8,,27,20,21,16,9,8,17,29,20,30,23,15,16,,68,68,78,,,,,,,,,33,34,31,23,12,13,10
