Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
LAC,Marcus Maye,DB,,,78,88,91,86,85,67,90,87,85,83,27,12,10,9,12,,10,,71,54,67,34,25,20,29,64,67,37,40,65,73,,32,32,58,,,,,,,,,67,75,77,81,72,73,75
LAC,Mike Williams,WR,,,75,88,89,84,78,71,85,85,85,78,32,22,18,14,18,,13,,84,83,87,73,72,72,81,75,82,60,68,72,78,,53,38,52,,,,,,,,,36,27,41,19,20,25,20
LAC,Nyheim Hines,RB,"5'9""",196,72,90,92,88,69,62,85,85,81,82,25,20,15,10,16,,15,,73,70,62,72,67,62,60,85,78,46,72,77,84,,26,53,27,,,,,,,,,27,15,33,16,11,18,10
LAC,Hayden Hurst,TE,,,71,82,85,78,77,75,83,79,90,75,42,24,18,15,20,,14,,80,71,71,66,61,55,66,76,74,71,70,59,66,,61,57,65,,,,,,,,,41,43,49,25,17,22,18
LAC,Jalen Reagor,WR,"5'11""",197,71,92,90,90,60,62,86,94,86,88,31,20,15,10,20,,10,,78,78,82,72,71,73,68,69,82,56,65,76,81,,43,32,42,,,,,,,,,28,25,32,18,13,23,14
LAC,Shaquille Quarterman,LB,,,70,83,87,80,72,77,85,79,85,71,26,11,11,10,10,,9,,54,43,44,23,15,9,22,50,41,37,38,36,44,,44,44,86,,,,,,,,,81,81,82,70,55,59,38
LAC,Brenden Rice,WR,"6'3""",210,68,89,90,84,60,61,83,87,86,78,38,25,20,15,25,,20,,79,79,81,77,75,72,70,71,80,44,53,68,76,,49,27,41,,,,,,,,,20,27,36,22,21,16,21
LAC,Taylor Heinicke,QB,"6'1""",210,66,83,85,81,63,58,75,83,86,80,83,83,77,76,81,,78,,41,15,17,10,10,10,12,62,83,36,43,66,65,,14,21,14,,,,,,,,,25,10,34,23,7,7,5
LAC,Dalevon Campbell,WR,,,65,88,88,81,53,73,85,86,86,79,31,22,17,14,18,,15,,82,81,84,70,69,67,74,73,77,55,63,66,72,,55,40,51,,,,,,,,,34,31,35,22,17,23,20
LAC,Dez Fitzpatrick,WR,"6'2""",208,65,89,88,83,68,59,81,86,87,81,28,20,15,10,10,,6,,78,79,80,67,68,69,68,70,79,44,53,73,72,,41,28,42,,,,,,,,,29,20,31,17,15,19,16
