Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
LV,Phillip Dorsett,WR,"5'10""",192,75,93,92,92,76,56,83,89,78,86,34,25,21,16,19,,14,,83,79,82,68,70,69,70,74,84,38,51,78,84,,52,33,48,,,,,,,,,35,28,44,21,23,25,21
LV,Christian Wilkins,DL,,,75,71,77,68,82,89,78,73,89,58,23,11,10,9,9,,9,,35,26,27,18,11,8,19,39,30,39,35,21,24,,47,46,93,,,,,,,,,83,82,81,82,21,28,15
LV,Isaiah Spiller,RB,,,74,90,91,86,75,73,87,80,85,83,34,27,22,16,24,,18,,67,57,55,64,57,48,54,89,82,76,79,75,82,,40,57,41,,,,,,,,,39,37,41,24,17,22,17
LV,Cody Whitehair,OL,,,73,70,76,66,89,84,87,67,88,55,25,8,8,8,7,,7,,36,20,20,17,8,6,17,35,19,27,27,13,14,,71,72,85,,,,,,,,,32,26,30,19,13,15,11
LV,Brandon Smith,LB,"6'1""",218,71,88,89,82,71,75,82,90,84,75,24,11,10,10,11,,10,,56,45,49,24,14,11,23,50,48,39,42,45,53,,45,47,84,,,,,,,,,79,82,81,68,54,58,43
LV,Kyle Philips,WR,"5'11""",189,71,87,93,89,69,62,86,81,83,90,29,15,10,6,10,,6,,82,78,81,76,74,69,71,76,81,51,52,69,78,,52,32,43,,,,,,,,,31,25,43,25,21,29,22
LV,Sincere McCormick,RB,"5'9""",205,71,87,88,80,75,75,84,81,87,78,37,30,24,18,29,,18,,70,56,55,59,54,48,48,92,81,81,80,67,80,,36,52,41,,,,,,,,,34,30,38,19,12,12,15
LV,Zachary Carter,DL,,,70,75,80,70,72,81,76,71,87,62,22,9,7,8,8,,8,,35,24,27,19,12,8,19,39,31,39,42,23,31,,45,42,91,,,,,,,,,79,82,79,71,24,33,22
LV,JT Woods,DB,,,70,92,92,86,68,61,88,91,81,84,27,13,11,10,13,,10,,67,57,67,33,23,20,32,60,67,36,39,64,72,,30,29,53,,,,,,,,,57,63,71,65,69,68,76
LV,Collin Johnson,WR,"6'6""",220,69,86,89,83,72,70,85,90,83,79,25,15,10,6,10,,6,,83,82,84,70,69,65,71,73,76,64,70,71,76,,59,40,58,,,,,,,,,31,32,30,13,15,18,20
LV,Albert Okwuegbunam,TE,,,69,85,87,80,67,75,84,83,86,72,36,25,20,15,20,,16,,80,78,79,65,60,54,68,74,74,67,66,60,69,,61,59,64,,,,,,,,,39,32,42,25,15,20,18
LV,Trey Taylor,DB,"6'1""",206,68,86,88,87,64,70,85,89,90,87,37,35,33,28,33,,25,,72,61,65,33,27,24,34,66,70,57,45,70,74,,35,30,65,,,,,,,,,70,79,73,65,61,71,60
LV,Seth Williams,WR,,,68,89,89,82,68,63,81,87,83,79,28,23,18,14,20,,15,,82,80,82,70,69,68,72,75,76,48,61,66,72,,53,36,51,,,,,,,,,33,33,38,21,19,22,17
LV,David Ebuka Agoha,DL,,,68,79,82,74,70,79,77,81,82,66,22,8,9,8,9,,10,,38,27,28,19,13,9,20,39,35,35,36,34,39,,44,44,89,,,,,,,,,77,80,79,67,29,39,27
LV,Kawaan Baker,WR,,,67,90,91,81,66,66,79,90,83,79,33,24,19,14,22,,16,,80,78,82,70,69,68,70,73,78,55,60,70,73,,48,33,46,,,,,,,,,34,32,38,24,20,25,20
LV,Jaylon Smith,LB,"6'2""",240,67,84,86,81,67,73,82,86,85,71,25,6,6,6,6,,6,,56,28,33,15,7,5,22,45,47,32,39,32,47,,45,45,81,,,,,,,,,80,84,79,67,61,67,52
LV,Chris Collier,RB,"5'11""",210,66,89,94,85,60,70,79,86,82,85,27,24,20,14,10,,10,,60,51,52,51,44,37,40,85,78,75,66,69,76,,45,48,37,,,,,,,,,39,49,46,18,30,37,32
LV,Keondre Coburn,DL,,,66,64,73,59,69,87,74,70,88,54,21,8,8,7,9,,9,,33,23,23,19,12,8,18,35,25,37,34,15,19,,47,47,91,,,,,,,,,81,81,77,69,12,20,8
LV,Shedrick Jackson,WR,,,65,89,90,84,60,62,81,84,83,82,31,24,18,15,21,,17,,79,77,78,70,69,68,67,71,77,47,51,69,75,,46,31,43,,,,,,,,,33,29,35,24,21,26,20
LV,Jonathan Sutherland,DB,,,65,89,91,84,64,62,88,87,84,84,28,13,11,9,12,,10,,68,58,66,33,23,19,30,61,67,38,41,63,71,,33,33,57,,,,,,,,,61,69,72,61,64,64,68
LV,Ketron Jackson Jr.,WR,,,65,90,90,83,60,63,83,84,85,83,29,23,18,15,20,,18,,79,77,77,70,69,68,65,72,78,45,49,69,75,,47,28,39,,,,,,,,,31,31,34,26,24,28,20
LV,Qadir Ismail,WR,,,65,87,88,81,61,72,81,86,85,77,30,23,18,15,21,,16,,80,80,83,70,69,67,75,74,74,62,65,63,69,,51,37,52,,,,,,,,,38,33,36,23,22,25,21
LV,Michael Barrett,LB,"6'0""",232,65,82,86,74,72,63,85,76,88,71,24,23,18,13,22,,11,,62,51,57,32,27,20,30,56,61,45,54,57,63,,42,35,65,,,,,,,,,76,87,80,68,61,69,53
LV,Tyreik McAllister,RB,,,65,90,92,86,64,60,84,85,80,82,33,28,22,18,23,,16,,67,53,54,63,55,47,50,83,76,51,59,75,83,,30,41,32,,,,,,,,,33,26,39,22,19,23,19
LV,Tyler Manoa,DL,,,64,71,76,65,64,86,72,75,84,53,23,11,9,8,10,,9,,36,26,26,19,12,9,19,38,30,42,36,22,25,,46,45,93,,,,,,,,,78,80,75,64,16,22,17
LV,Jeff Foreman,WR,,,64,90,91,85,58,58,81,83,82,84,31,24,19,15,21,,17,,78,75,76,70,70,69,64,70,76,41,45,70,76,,42,27,39,,,,,,,,,29,26,33,23,21,26,18
LV,Jackson Mitchell,LB,,,64,85,88,80,65,71,82,85,84,74,24,12,11,10,11,,10,,56,47,48,24,14,12,21,51,48,40,43,42,50,,44,44,80,,,,,,,,,77,80,79,64,51,57,42
LV,Justin Shorter,TE,"6'4""",223,64,87,88,77,52,69,85,88,84,74,34,15,10,6,10,,6,,79,75,77,65,64,63,62,72,75,61,51,63,71,,54,53,51,,,,,,,,,39,35,37,25,21,27,30
LV,Jah Joyner,DL,"6'4""",262,63,86,83,73,52,76,78,74,85,64,20,6,6,6,6,,6,,34,21,21,15,7,5,15,32,32,30,35,26,31,,45,45,66,,,,,,,,,75,76,79,51,34,44,30
LV,Ovie Oghoufo,DL,,,63,80,83,73,60,77,76,82,84,64,24,9,9,8,9,,9,,40,30,31,19,13,9,19,40,35,39,37,31,36,,44,43,90,,,,,,,,,76,80,75,59,28,37,27
LV,Anthony Booker,DL,,,63,75,80,69,58,82,77,78,85,59,23,11,9,8,10,,10,,36,27,27,18,12,9,17,38,32,37,35,26,29,,45,44,88,,,,,,,,,76,80,75,59,19,26,19
LV,John Humphrey,DB,"6'2""",193,63,88,92,73,55,57,88,92,84,87,26,6,6,6,6,,6,,65,52,60,21,14,12,22,53,65,28,30,60,72,,35,30,43,,,,,,,,,57,59,72,51,66,67,68
LV,Matt Jones,LB,"6'2""",236,63,83,88,85,55,72,88,79,87,76,22,6,6,6,6,,6,,58,48,51,25,18,15,19,55,43,44,41,45,45,,45,45,70,,,,,,,,,79,78,80,53,53,61,48
LV,Treven Ma'ae,DL,"6'3""",277,63,77,86,69,56,83,88,80,86,61,20,6,6,6,6,,6,,34,22,21,15,8,5,15,36,22,31,28,18,19,,45,45,85,,,,,,,,,77,76,70,54,16,20,17
LV,Greedy Vance,DB,,,63,90,92,86,58,56,88,86,83,86,27,13,11,9,12,,8,,67,58,63,31,23,18,27,58,70,31,36,67,75,,31,30,50,,,,,,,,,54,56,70,59,67,66,64
LV,Jahfari Harvey,DL,,,63,75,80,69,58,82,77,78,85,59,23,11,9,8,10,,10,,36,27,27,18,12,9,17,38,32,37,35,26,29,,45,44,88,,,,,,,,,76,80,75,59,19,26,19
LV,Hudson Clark,DB,,,62,90,91,84,56,61,87,87,82,83,27,13,11,9,12,,9,,66,58,63,31,23,19,31,58,65,38,42,63,70,,32,32,52,,,,,,,,,56,63,69,56,63,65,69
LV,Tommy Mellott,WR,"6'0""",205,62,92,95,86,59,63,86,92,86,85,82,75,71,68,73,,62,,76,68,69,63,62,61,54,71,75,58,58,66,70,,43,21,31,,,,,,,,,35,30,39,29,24,48,22
LV,Dalton Wagner,OL,,,62,66,70,59,66,84,80,68,80,49,22,10,9,8,8,,8,,30,21,21,17,9,7,18,29,21,30,24,15,17,,67,68,78,,,,,,,,,31,34,29,21,11,12,10
LV,Jarrod Hufford,OL,"6'3""",322,61,68,69,52,57,89,81,75,81,50,16,6,6,6,6,,6,,23,13,15,16,7,5,15,23,12,28,18,10,10,,69,67,79,,,,,,,,,27,27,24,14,12,14,10
LV,Amari Gainer,LB,"6'3""",236,61,85,85,76,64,67,82,81,81,77,40,15,10,5,16,,19,,53,50,52,15,11,5,28,53,31,43,40,51,46,,41,33,80,,,,,,,,,71,81,78,57,56,62,46
LV,Gottlieb Ayedze,OL,,,61,72,75,62,65,84,82,75,83,55,24,10,8,8,8,,8,,29,19,20,15,9,7,17,29,21,31,25,15,17,,65,66,78,,,,,,,,,35,37,33,24,11,13,10
LV,Parker Clements,OL,,,61,67,71,59,59,84,81,75,84,54,20,10,9,8,8,,8,,27,20,20,16,9,7,17,30,19,30,22,14,16,,68,68,79,,,,,,,,,33,34,31,23,12,13,10
LV,Andre Carter II,LB,"6'6""",256,60,80,82,74,59,69,77,69,91,67,25,12,10,9,11,,8,,48,39,41,22,15,12,22,45,34,36,32,27,32,,45,45,82,,,,,,,,,76,78,76,59,38,44,31
