Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
MIN,Terron Armstead,OL,,,81,78,76,68,94,88,90,74,87,50,21,11,10,10,11,,9,,32,20,21,18,7,4,19,40,20,24,18,16,16,,78,79,88,,,,,,,,,32,32,32,22,12,14,10
MIN,Tyus Bowser,LB,,,78,84,88,82,84,79,83,87,85,71,24,13,12,10,12,,10,,58,43,46,21,12,8,21,54,42,34,39,41,45,,46,47,86,,,,,,,,,83,85,83,80,54,59,41
MIN,Ryan Stonehouse,P,"5'10""",193,77,85,86,58,59,46,84,51,72,54,28,32,26,23,21,,19,,24,15,15,16,13,12,14,24,22,10,10,21,24,,17,12,12,,,,,,,,,22,16,23,17,11,12,10
MIN,Mike Hilton,DB,"5'9""",184,76,87,88,86,75,65,90,81,85,86,22,26,20,17,19,,18,,74,61,64,29,17,12,24,57,66,31,46,71,75,,26,16,46,,,,,,,,,71,45,85,74,74,78,78
MIN,Duke Riley,LB,,,76,85,88,83,83,72,87,83,86,74,25,12,12,9,11,,10,,67,49,52,23,14,9,20,61,50,40,42,43,50,,45,43,85,,,,,,,,,83,84,83,82,61,66,53
MIN,Germain Ifedi,OL,,,75,63,68,59,91,88,85,69,88,50,22,8,8,8,7,,7,,29,19,19,17,8,6,16,36,17,24,19,14,15,,74,73,86,,,,,,,,,32,28,28,22,12,14,10
MIN,Blake Ferguson,LS,,,72,75,77,65,56,59,82,52,64,55,42,35,29,24,22,,22,,41,14,17,13,10,12,14,39,18,21,16,17,19,,15,20,17,,,,,,,,,34,20,36,19,12,16,10
MIN,Isaiah Wynn,OL,,,72,68,74,64,87,87,88,70,90,55,22,9,8,8,8,,8,,31,19,19,17,8,6,18,35,18,25,21,13,15,,71,72,86,,,,,,,,,33,27,30,22,12,13,10
MIN,River Cracraft,WR,,,71,89,90,86,76,61,82,86,79,83,32,23,18,14,19,,14,,82,78,80,72,71,71,70,72,79,44,51,73,78,,48,33,43,,,,,,,,,32,27,38,21,20,26,19
MIN,Kendall Sheffield,DB,"5'10""",212,70,91,92,91,65,56,88,92,81,90,30,6,6,6,6,,6,,59,51,60,20,13,10,25,63,58,22,24,67,72,,35,35,47,,,,,,,,,58,60,72,68,69,71,72
MIN,Jeffery Wilson,RB,,,70,90,90,86,78,67,83,85,80,81,31,27,22,17,22,,15,,66,55,52,65,56,47,55,87,78,64,70,73,82,,37,51,38,,,,,,,,,37,29,38,20,16,20,18
MIN,Cam Brown,LB,,,69,82,85,80,73,71,81,84,84,72,24,11,10,10,10,,10,,60,49,50,24,14,11,21,49,45,36,40,41,49,,43,44,82,,,,,,,,,78,78,81,70,55,58,45
MIN,Cam Smith,DB,"6'0""",180,69,91,95,90,68,45,90,90,85,87,27,6,6,6,6,,6,,72,65,72,52,42,35,49,56,71,34,32,63,37,,34,26,39,,,,,,,,,50,77,70,67,65,69,65
MIN,William Bradley-King,DL,,,68,80,81,75,68,79,77,83,85,63,24,9,9,8,9,,9,,39,29,29,19,13,9,18,41,34,35,35,27,33,,46,46,89,,,,,,,,,77,79,79,67,29,37,25
MIN,Chasen Hines,OL,,,67,65,68,58,72,88,80,72,87,52,21,10,9,8,8,,8,,28,18,19,15,8,7,15,33,19,29,23,15,16,,71,68,82,,,,,,,,,38,36,32,22,12,12,10
MIN,Braeden Daniels,OL,"6'4""",297,67,73,80,66,75,79,83,75,80,60,15,6,6,6,6,,6,,34,10,12,10,5,5,12,40,10,10,10,10,10,,68,73,68,,,,,,,,,36,34,24,22,12,11,10
MIN,Jackson Carman,OL,"6'5""",322,67,58,54,52,67,89,83,55,81,47,21,6,6,6,6,,6,,24,10,12,10,5,5,12,30,10,10,10,10,10,,70,68,82,,,,,,,,,28,22,21,10,12,12,10
MIN,Tarik Black,WR,,,67,88,89,83,66,66,82,91,83,80,31,24,18,14,21,,15,,79,79,82,69,69,67,70,72,76,53,57,68,74,,50,34,49,,,,,,,,,34,30,36,23,21,25,22
