Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
NE,Ja'Whaun Bentley,LB,,,73,84,87,79,75,76,82,82,83,72,23,10,10,9,10,,9,,54,39,42,24,15,11,24,52,44,39,41,44,50,,47,47,83,,,,,,,,,81,82,82,73,52,57,40
NE,Oshane Ximines,LB,,,73,81,87,78,76,77,82,82,84,67,26,11,10,9,11,,9,,49,36,40,20,14,10,24,47,34,32,32,34,39,,42,41,82,,,,,,,,,78,80,84,74,48,53,36
NE,Layden Robinson,OL,"6'4""",315,72,72,72,60,80,88,85,67,85,56,21,8,5,5,8,,9,,40,35,30,22,16,11,15,40,35,33,30,25,25,,74,66,84,,,,,,,,,36,39,24,26,11,11,10
NE,Jamycal Hasty,RB,,,70,88,90,86,73,65,85,89,84,85,28,29,23,17,20,,14,,67,57,58,64,56,48,53,86,79,65,67,75,84,,35,49,34,,,,,,,,,34,24,33,20,14,19,17
NE,Javon Baker,WR,"6'1""",202,69,88,89,86,66,59,85,88,86,85,26,15,10,10,15,,15,,78,82,84,70,71,73,72,74,77,49,52,71,78,,49,41,48,,,,,,,,,27,18,23,18,22,21,13
NE,Monty Rice,LB,"6'0""",233,68,86,89,76,65,72,82,78,90,70,20,6,6,6,6,,6,,48,32,34,20,10,6,25,55,51,37,37,31,35,,45,45,81,,,,,,,,,82,87,81,66,55,65,54
NE,Yasir Durant,OL,,,66,56,61,55,75,84,80,62,83,45,23,9,9,8,8,,8,,31,19,19,16,8,7,17,35,16,29,23,12,14,,70,70,80,,,,,,,,,34,32,30,21,11,13,10
NE,Cole Fotheringham,TE,,,66,83,87,80,65,73,83,81,85,74,34,23,19,15,18,,15,,78,74,75,65,60,54,62,72,70,66,62,60,66,,59,58,63,,,,,,,,,39,35,40,25,17,21,16
NE,David Andrews,OL,,,66,66,69,60,84,84,83,68,85,51,23,9,8,8,8,,8,,33,19,20,18,9,7,19,37,17,24,18,14,15,,68,67,81,,,,,,,,,35,26,33,24,12,15,10
NE,Caleb Jones,OL,,,66,63,64,53,66,90,74,67,81,41,23,11,9,8,9,,8,,26,20,21,16,8,6,17,31,19,29,28,15,16,,72,68,80,,,,,,,,,35,38,29,18,11,11,10
NE,Jaheim Bell,TE,"6'2""",241,65,85,91,81,54,70,84,85,86,73,20,15,10,11,18,,13,,78,75,74,66,63,60,66,73,78,70,69,66,73,,53,51,59,,,,,,,,,33,26,39,15,10,15,15
NE,DJ James,DB,"6'0""",175,65,92,93,86,63,57,87,87,79,86,28,13,12,10,13,,8,,66,58,66,32,24,20,31,58,69,32,37,66,73,,32,31,51,,,,,,,,,53,55,69,61,69,66,72
NE,Jeremiah Webb,WR,,,65,89,90,83,61,62,83,85,84,83,31,24,18,15,20,,17,,78,77,77,70,69,68,65,71,77,47,50,69,75,,46,27,40,,,,,,,,,31,29,33,25,23,28,20
NE,Tyrese Robinson,OL,"6'3""",319,65,67,62,49,55,85,84,59,86,49,21,6,6,6,6,,6,,25,10,12,10,6,5,12,20,10,15,10,10,10,,71,74,82,,,,,,,,,29,12,23,10,12,12,10
NE,Isaiah Bolden,DB,"6'2""",205,65,95,93,80,55,63,85,90,82,79,26,16,13,8,15,,6,,59,55,58,35,30,28,36,66,85,55,60,76,80,,35,30,50,,,,,,,,,58,69,75,52,65,69,67
NE,John Jiles,WR,,,65,88,89,83,61,68,81,85,85,79,30,24,18,14,22,,16,,79,78,80,70,69,67,70,73,75,57,58,66,72,,49,34,48,,,,,,,,,35,31,36,23,21,25,21
NE,Isaiah Iton,DL,,,64,76,80,69,62,82,75,79,85,62,23,9,9,8,9,,10,,36,27,27,18,13,9,18,39,32,38,36,25,31,,46,44,91,,,,,,,,,77,81,76,61,24,31,22
NE,Wes Schweitzer,OL,,,64,65,66,61,79,85,83,67,83,51,23,8,8,8,7,,8,,33,19,19,17,8,7,20,34,17,25,20,13,15,,67,67,80,,,,,,,,,34,31,33,19,12,15,11
NE,Sidy Sow,OL,"6'5""",326,64,73,70,63,72,87,86,78,85,54,24,6,6,6,6,,6,,50,48,47,42,38,36,45,53,52,50,51,45,48,,76,67,83,,,,,,,,,51,57,52,47,15,23,20
