Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
NYG,Andru Phillips,DB,,,74,93,94,89,74,56,89,94,82,89,28,13,11,10,12,,9,,68,60,70,32,23,19,30,58,71,27,39,71,78,,32,30,49,,,,,,,,,54,55,72,73,75,73,76
NYG,Ross Blacklock,DL,,,72,75,79,68,75,86,74,75,85,56,23,9,9,8,9,,9,,38,25,27,19,12,9,21,41,33,41,36,27,30,,44,44,91,,,,,,,,,82,81,80,74,22,28,18
NYG,Elijah Chatman,DL,"6'0""",278,71,82,79,56,65,88,76,70,82,61,19,16,13,11,8,,14,,44,34,37,7,8,7,17,52,33,30,17,24,29,,45,24,86,,,,,,,,,83,80,77,64,28,36,24
NYG,Zach Pascal,WR,"6'2""",215,71,89,90,83,74,71,87,86,88,80,46,30,24,20,27,,18,,84,81,83,76,74,71,73,75,67,65,68,72,76,,56,49,57,,,,,,,,,31,28,40,15,19,18,15
NYG,Tre Hawkins III,DB,"6'3""",195,70,92,94,91,66,63,86,89,80,87,30,6,6,6,11,,6,,70,59,66,40,36,35,43,55,67,44,52,66,73,,35,34,47,,,,,,,,,60,67,73,65,67,66,72
NYG,Greg Stroman,DB,,,70,89,91,84,73,56,87,83,76,81,29,12,11,10,11,,9,,68,54,65,31,23,19,28,58,65,28,34,68,74,,35,34,52,,,,,,,,,53,52,70,72,70,69,69
NYG,Jeremiah Ledbetter,DL,"6'3""",299,69,77,78,67,70,85,70,81,79,51,32,6,6,6,6,,6,,34,24,18,17,9,5,15,28,18,25,25,14,17,,45,45,83,,,,,,,,,80,81,74,68,23,30,15
NYG,Matthew Adams,LB,,,68,85,87,80,71,72,84,83,82,74,25,11,10,9,10,,9,,59,44,47,24,15,10,22,58,50,43,43,46,56,,46,46,80,,,,,,,,,81,80,81,70,59,63,49
NYG,Christopher Hubbard,OL,,,68,65,67,60,88,84,84,65,84,50,23,8,8,8,8,,8,,34,19,20,18,9,6,20,37,16,22,15,13,15,,68,68,81,,,,,,,,,34,24,32,22,12,15,10
NYG,Montrell Washington,WR,"5'10""",170,68,91,90,88,56,54,79,85,78,87,37,33,26,20,27,,22,,78,77,79,71,70,69,64,73,80,36,43,75,81,,40,24,38,,,,,,,,,26,19,32,25,20,27,21
NYG,Jude McAtamney,K,,,68,77,78,67,47,47,82,56,65,55,40,34,30,25,23,,17,,44,14,16,14,11,13,15,38,19,21,14,16,20,,22,18,20,,,,,,,,,36,18,34,18,15,18,11
NYG,Elijah Riley,DB,,,68,88,90,83,69,64,88,86,84,82,28,13,11,10,12,,10,,68,56,65,32,23,19,30,61,65,40,42,62,69,,32,31,58,,,,,,,,,64,71,74,66,63,66,69
NYG,Ihmir Smith-Marsette,WR,"6'1""",185,67,90,92,83,62,54,81,87,82,87,63,47,42,36,40,,24,,78,76,76,70,69,72,64,71,81,38,47,74,76,,47,24,37,,,,,,,,,45,38,46,27,24,32,24
NYG,Rushawn Baker,RB,,,67,89,91,85,60,71,87,88,85,84,32,23,20,18,24,,20,,66,59,60,63,56,49,51,85,77,72,72,73,80,,41,54,42,,,,,,,,,36,33,34,23,19,24,20
NYG,Jonathan Ward,RB,,,67,89,91,85,71,66,83,85,80,80,32,28,23,19,25,,18,,65,53,54,62,54,45,51,84,77,62,67,74,81,,34,46,36,,,,,,,,,34,31,40,24,21,25,20
NYG,Armon Watts,DL,,,66,68,72,64,69,85,73,76,84,55,21,11,10,10,10,,9,,35,23,22,17,10,7,17,40,25,37,33,20,25,,47,46,88,,,,,,,,,79,78,76,70,19,27,15
NYG,Dee Williams,DB,"5'10""",190,65,91,89,76,68,57,87,75,79,82,31,6,6,6,6,,6,,73,68,69,53,50,48,59,69,73,44,38,68,76,,35,35,52,,,,,,,,,66,67,73,56,63,67,67
NYG,Anthony Johnson Jr.,DB,,,65,88,90,84,64,64,87,87,85,83,28,13,11,9,13,,10,,68,59,66,32,23,19,30,61,65,41,44,61,68,,32,32,58,,,,,,,,,63,72,73,62,62,65,69
NYG,Dyontae Johnson,LB,"6'2""",230,65,86,88,74,59,73,83,71,87,66,36,6,6,6,6,,6,,57,42,44,21,12,6,16,54,46,36,32,40,46,,45,45,76,,,,,,,,,78,78,80,58,52,61,47
NYG,Jake Kubas,OL,"6'4""",308,65,65,72,61,65,86,83,76,88,59,23,6,6,6,6,,6,,28,10,12,19,8,5,12,40,14,25,38,11,12,,69,72,78,,,,,,,,,34,37,33,27,12,12,10
NYG,Jordan Bly,WR,,,65,90,90,83,60,63,83,85,85,83,29,23,18,15,20,,18,,79,77,77,70,69,68,65,72,78,45,49,69,75,,46,28,39,,,,,,,,,31,31,34,25,24,28,20
NYG,Dante Miller,RB,,,64,89,91,83,61,65,84,85,83,81,34,29,22,18,22,,16,,67,53,54,62,54,47,51,85,77,61,66,72,80,,35,46,36,,,,,,,,,32,27,38,19,14,21,15
NYG,K.J. Cloyd,LB,,,64,85,88,80,65,70,82,86,85,75,24,12,11,10,10,,10,,57,48,50,24,14,12,21,52,49,39,43,43,52,,44,44,80,,,,,,,,,77,80,79,64,52,58,44
NYG,Da'Quan Felton,WR,,,64,87,88,81,53,73,84,82,86,77,32,22,18,14,19,,16,,81,80,83,70,69,68,74,72,75,55,65,65,71,,53,38,50,,,,,,,,,36,31,37,23,18,24,20
NYG,Antwane Wells Jr.,WR,,,64,87,89,83,53,69,87,82,85,82,32,23,19,14,20,,16,,81,79,81,70,69,67,70,71,79,48,58,69,75,,52,36,47,,,,,,,,,33,28,36,23,19,24,20
NYG,Dalen Cambre,WR,,,64,89,90,84,53,63,85,84,83,84,31,23,18,14,20,,15,,80,77,80,70,69,67,65,70,79,42,50,70,76,,49,33,43,,,,,,,,,30,27,33,23,18,24,20
NYG,TJ Moore,DB,,,63,89,91,84,57,60,86,85,83,83,27,13,11,10,13,,9,,67,59,64,32,24,20,30,59,66,38,41,63,70,,33,32,53,,,,,,,,,59,65,71,58,64,65,69
NYG,Jermaine Terry,TE,,,63,85,88,80,54,72,84,87,84,77,32,24,18,14,19,,15,,79,81,83,64,59,54,69,73,73,66,64,63,69,,59,59,62,,,,,,,,,39,34,37,25,18,22,16
NYG,Bryan Hudson,OL,,,62,68,72,61,65,83,81,75,83,55,21,10,9,8,8,,8,,28,20,20,16,9,8,17,30,20,28,21,15,17,,67,67,78,,,,,,,,,33,35,31,24,12,13,10
NYG,Trace Ford,LB,,,62,84,88,78,61,72,83,84,84,74,25,13,11,11,12,,10,,53,47,48,23,15,12,21,52,47,42,43,43,49,,43,43,78,,,,,,,,,77,80,78,60,49,55,43
NYG,O'Donnell Fortune,DB,,,62,90,92,84,57,59,88,82,82,83,28,14,11,9,12,,8,,66,57,63,31,23,19,29,58,67,35,39,64,71,,33,34,50,,,,,,,,,53,58,69,57,64,65,67
NYG,Jaison Williams,OL,,,61,67,71,59,59,84,81,75,84,53,20,10,9,8,8,,8,,28,20,20,16,9,8,17,29,20,30,23,15,16,,68,68,78,,,,,,,,,33,34,31,23,12,13,10
NYG,Makari Paige,DB,,,61,89,91,83,54,65,87,87,83,80,27,13,11,9,12,,10,,67,59,65,31,24,19,32,59,61,46,49,59,65,,33,31,56,,,,,,,,,61,72,70,54,60,64,73
NYG,Raheem Layne,DB,"5'11""",192,61,86,92,75,59,60,83,83,85,75,26,6,6,6,6,,6,,54,49,52,25,21,19,15,60,70,44,39,65,71,,35,35,53,,,,,,,,,64,76,76,55,60,67,66
NYG,Jimmy Morrissey,OL,"6'3""",303,59,61,81,68,70,81,82,76,82,59,30,6,6,6,6,,6,,35,10,12,10,4,5,12,36,10,15,10,10,10,,66,62,82,,,,,,,,,37,31,29,32,12,15,10
