Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
NYJ,Greg Zuerlein,K,,,80,73,74,64,64,52,93,66,70,53,33,35,29,24,18,,18,,35,13,16,13,12,12,13,46,14,13,18,16,15,,18,17,19,,,,,,,,,27,22,25,16,13,15,10
NYJ,Anders Carlson,K,,,72,78,78,65,57,57,84,80,73,54,39,27,23,18,19,,17,,37,22,23,19,17,17,18,43,23,21,22,19,22,,24,22,28,,,,,,,,,33,26,38,21,12,19,12
NYJ,Zach Evans,RB,,,71,91,92,87,70,68,87,88,83,86,32,27,22,18,25,,19,,67,58,58,64,57,49,52,86,79,67,68,75,83,,35,51,36,,,,,,,,,34,28,35,22,19,23,18
NYJ,Rashad Weaver,LB,"6'4""",259,69,79,84,77,71,77,80,77,88,68,26,11,11,9,11,,8,,49,38,39,21,15,10,23,45,34,32,34,31,36,,45,45,85,,,,,,,,,79,81,81,70,45,50,31
NYJ,Sam Eguavoen,LB,,,69,83,87,79,74,73,83,82,88,73,27,12,12,10,10,,10,,61,44,45,23,14,10,19,56,46,42,43,40,49,,46,45,80,,,,,,,,,80,79,81,72,53,61,45
NYJ,Donovan Edwards,RB,"5'11""",205,68,91,93,82,70,71,84,88,88,81,65,53,51,55,57,,40,,68,53,54,63,55,45,49,87,77,74,68,71,77,,38,47,36,,,,,,,,,36,33,40,45,21,26,23
NYJ,Lawrance Toafili,RB,,,67,89,91,85,62,71,86,87,85,84,33,24,21,19,25,,21,,66,59,60,63,57,49,51,85,77,72,71,73,80,,40,54,41,,,,,,,,,36,33,35,23,18,23,20
NYJ,Easop Winston,WR,,,67,89,90,85,66,61,82,86,81,82,33,24,19,14,21,,16,,80,77,78,70,69,68,65,71,79,46,50,73,79,,47,31,44,,,,,,,,,33,28,38,24,21,27,21
NYJ,Mario Goodrich,DB,"6'0""",191,66,89,91,85,66,59,87,86,79,85,29,13,11,10,12,,9,,67,57,65,32,23,19,31,59,67,32,37,65,72,,32,30,52,,,,,,,,,55,56,71,64,67,66,70
NYJ,Dymere Miller,WR,"5'11""",181,66,93,91,88,64,62,86,84,87,86,30,20,15,10,15,,10,,77,75,75,66,67,68,60,70,78,38,40,70,74,,48,25,42,,,,,,,,,30,29,35,23,22,27,17
NYJ,Carter Warren,OL,"6'5""",323,66,64,73,67,73,82,82,69,78,57,23,15,13,11,8,,9,,48,51,47,45,33,29,43,55,40,31,29,25,33,,63,74,76,,,,,,,,,30,31,22,16,8,9,10
NYJ,Kingsley Jonathan,DL,"6'4""",260,65,80,88,83,56,80,70,83,84,68,20,6,6,6,6,,6,,35,25,34,10,7,5,13,39,29,35,31,23,27,,45,45,77,,,,,,,,,73,77,80,57,17,21,17
NYJ,Jake Hanson,OL,,,65,58,66,58,77,87,85,69,88,52,22,9,8,8,8,,7,,29,18,19,17,9,7,18,33,17,28,20,14,16,,67,68,81,,,,,,,,,34,29,29,22,11,13,10
NYJ,Neal Johnson,TE,,,65,84,88,81,59,73,83,84,86,76,33,24,18,14,17,,15,,78,76,78,65,59,54,65,72,71,67,64,62,68,,59,58,63,,,,,,,,,39,34,38,24,16,22,16
NYJ,Kohl Levao,OL,,,65,65,67,55,67,88,77,69,83,46,23,10,9,8,8,,8,,27,19,20,15,8,7,16,31,20,29,27,16,17,,71,68,80,,,,,,,,,36,37,31,21,11,12,10
NYJ,Leonard Taylor III,DL,"6'4""",303,65,68,75,58,65,84,71,74,79,57,10,15,10,5,12,,17,,28,21,24,15,9,5,16,33,46,25,33,32,27,,30,33,77,,,,,,,,,75,73,71,67,25,32,30
NYJ,Jamaal Pritchett,WR,,,65,90,90,83,60,63,83,85,85,83,29,23,18,15,20,,18,,79,77,77,70,69,68,65,72,78,45,49,69,75,,46,28,39,,,,,,,,,31,31,33,25,24,28,21
NYJ,Jackson Sirmon,LB,,,64,84,88,79,65,72,82,85,85,74,24,12,11,11,11,,10,,55,46,48,24,14,12,21,52,48,41,43,42,48,,44,44,79,,,,,,,,,77,80,79,64,49,55,40
NYJ,Liam Fornadel,OL,,,64,67,70,60,69,84,81,73,84,53,22,10,9,8,8,,8,,29,19,20,16,8,7,17,32,19,28,22,15,16,,68,68,79,,,,,,,,,35,34,32,24,12,13,10
NYJ,Pokey Wilson,WR,"6'0""",181,64,87,89,79,67,54,82,78,80,80,25,15,10,6,10,,6,,79,77,79,69,70,69,61,69,77,47,51,70,75,,39,22,31,,,,,,,,,27,20,26,17,13,17,18
NYJ,Ryan Cooper Jr.,DB,,,64,90,92,85,62,59,87,86,81,85,28,13,11,9,13,,9,,66,59,66,32,23,19,31,59,68,34,39,65,72,,33,32,54,,,,,,,,,57,61,70,61,66,65,69
NYJ,Jimmy Ciarlo,LB,,,64,85,88,80,65,70,83,86,85,75,24,12,11,10,10,,10,,58,49,51,24,14,12,21,52,49,39,44,43,52,,44,44,80,,,,,,,,,77,80,79,64,53,58,45
