Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
PIT,Le'Raven Clark,OL,,,73,66,68,64,89,84,86,67,86,47,24,9,8,8,8,,7,,32,19,19,16,7,5,17,37,19,26,24,14,15,,74,73,85,,,,,,,,,36,33,34,24,13,15,10
PIT,Terrace Marshall Jr.,WR,"6'2""",200,71,91,92,86,69,66,83,91,82,84,32,23,18,15,18,,16,,83,81,84,70,69,68,74,74,81,50,58,72,78,,49,37,47,,,,,,,,,32,27,33,20,18,24,21
PIT,Lewis Cine,DB,"6'2""",202,70,92,94,83,60,58,88,88,88,79,21,6,6,6,6,,6,,61,55,58,15,11,10,12,64,56,49,46,63,69,,18,25,65,,,,,,,,,74,89,78,63,64,72,63
PIT,Danny Gray,WR,,,69,92,92,86,64,62,81,83,83,83,31,24,19,14,20,,16,,81,78,81,70,69,69,72,75,79,46,53,69,75,,49,32,44,,,,,,,,,33,30,40,21,22,25,18
PIT,Ainias Smith,WR,"5'9""",176,69,87,91,89,49,60,86,85,83,87,26,15,10,10,15,,15,,81,80,80,75,73,72,69,75,82,51,52,76,81,,46,25,39,,,,,,,,,32,27,38,24,24,30,23
PIT,C.J. Uzomah,TE,,,69,78,83,74,78,78,81,79,81,67,30,21,16,13,16,,13,,78,75,73,63,58,52,66,73,66,65,65,54,62,,66,63,70,,,,,,,,,38,31,43,23,15,23,18
PIT,Keilan Robinson,RB,,,67,91,93,85,64,62,84,84,81,82,34,27,22,18,21,,17,,69,54,55,62,54,47,45,87,76,55,61,73,81,,30,44,31,,,,,,,,,29,27,35,18,16,23,20
PIT,ShunDerrick Powell,RB,,,67,89,90,85,62,71,86,88,85,84,33,24,21,18,24,,20,,66,59,60,63,57,49,51,85,77,72,71,73,79,,40,54,41,,,,,,,,,36,34,35,23,18,23,20
PIT,Kyle McCord,QB,"6'3""",220,66,75,76,76,69,62,85,66,91,73,87,84,74,82,72,,81,,29,27,31,24,22,18,26,58,62,30,26,34,43,,24,20,23,,,,,,,,,36,31,51,40,16,15,17
PIT,Eli Ricks,DB,"6'2""",188,65,87,90,82,68,50,88,84,78,78,35,15,10,6,10,,6,,73,64,70,51,43,39,50,64,80,48,47,64,72,,34,22,51,,,,,,,,,47,73,67,66,64,66,76
