Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
SEA,Cordarrelle Patterson,RB,,,81,90,90,87,96,75,85,85,83,79,36,30,25,17,23,,15,,66,55,48,66,58,48,57,91,85,71,76,78,87,,41,60,41,,,,,,,,,38,28,42,21,16,21,19
SEA,Robert Woods,WR,"6'0""",195,75,89,86,84,79,63,91,89,79,84,34,28,24,20,22,,15,,84,84,85,79,78,77,78,75,80,53,57,77,85,,59,45,53,,,,,,,,,39,15,41,22,18,21,40
SEA,Montravius Adams,DL,,,74,74,77,67,80,84,75,70,83,56,23,9,8,8,8,,7,,34,23,27,18,12,8,20,38,31,38,37,22,28,,46,45,89,,,,,,,,,81,80,80,78,26,34,23
SEA,Cameron Sutton,DB,,,74,88,91,87,80,57,90,84,81,84,29,12,11,10,11,,9,,72,56,70,32,23,18,29,64,70,31,36,70,77,,32,31,55,,,,,,,,,58,60,73,78,71,71,72
SEA,Lew Nichols III,RB,,,71,89,91,85,72,73,87,87,87,84,32,26,22,18,24,,18,,66,58,57,64,57,48,51,88,79,76,74,73,80,,40,55,41,,,,,,,,,36,33,37,22,19,24,19
SEA,MyCole Pruitt,TE,,,71,80,83,74,77,78,80,78,88,69,28,22,18,14,16,,13,,76,65,60,65,59,53,57,75,66,69,69,52,62,,61,57,73,,,,,,,,,44,40,48,29,16,26,26
SEA,Beanie Bishop Jr.,DB,"5'9""",182,71,91,92,87,74,55,88,86,78,87,31,15,14,12,14,,11,,69,57,66,33,25,21,30,58,68,28,37,69,75,,33,34,54,,,,,,,,,57,57,70,75,73,73,70
SEA,Tyler Matakevich,LB,,,70,80,84,78,78,77,83,76,85,70,25,11,10,9,10,,9,,58,42,41,25,15,11,23,56,44,39,36,39,47,,45,45,83,,,,,,,,,81,81,81,75,54,61,43
SEA,Domenique Davis,DL,,,68,68,75,61,71,88,73,72,84,53,25,10,9,8,9,,8,,33,22,23,18,12,9,19,39,25,37,32,18,21,,47,46,92,,,,,,,,,79,78,76,72,16,19,14
SEA,Breiden Fehoko,DL,,,68,72,77,66,71,85,74,74,84,57,24,10,9,8,9,,9,,35,24,25,18,12,9,19,39,28,37,33,23,27,,46,46,91,,,,,,,,,78,78,77,70,21,26,18
SEA,Trey Sermon,RB,"6'0""",215,67,85,93,85,61,78,82,89,78,83,37,34,30,26,30,,23,,67,48,49,61,53,44,49,91,78,78,77,70,79,,51,52,52,,,,,,,,,34,31,36,16,12,17,18
SEA,Tucker Addington,LS,,,67,78,78,67,49,55,79,52,62,55,42,33,29,25,23,,19,,42,13,15,14,10,13,15,36,17,23,18,16,20,,19,18,20,,,,,,,,,35,18,33,16,16,16,10
SEA,Jacob Slade,DL,,,66,72,77,66,66,85,74,76,84,56,23,10,9,8,9,,9,,36,25,26,18,12,9,19,38,30,40,35,23,27,,46,45,92,,,,,,,,,78,80,76,65,18,24,18
SEA,Lance McCutcheon,WR,,,66,89,90,84,62,63,81,86,82,81,31,23,18,15,21,,17,,79,77,80,70,69,68,70,72,76,48,54,68,74,,47,33,45,,,,,,,,,34,30,35,24,22,26,20
SEA,Aaron Shampklin,RB,,,66,90,92,85,66,64,84,85,81,81,31,28,22,18,25,,17,,67,53,55,63,54,46,49,84,77,59,63,74,82,,32,45,36,,,,,,,,,32,28,37,20,16,21,17
SEA,Thomas Rush,LB,,,66,84,87,78,67,74,80,84,84,72,24,12,11,10,11,,10,,53,42,44,24,15,12,21,49,44,41,41,42,46,,45,46,80,,,,,,,,,77,80,79,65,46,53,37
SEA,Kyler Baugh,DL,,,66,72,78,66,64,85,74,77,84,59,23,9,9,7,9,,10,,34,24,25,18,13,9,18,37,29,39,35,23,27,,46,45,93,,,,,,,,,78,82,77,63,19,25,18
SEA,Ryan Watts,DB,,,65,89,90,84,62,65,86,90,84,83,27,14,11,10,14,,11,,67,60,66,32,23,20,31,61,62,44,46,58,64,,31,30,57,,,,,,,,,63,73,72,60,62,65,72
SEA,Brandon Johnson,WR,"6'2""",195,65,85,87,77,71,60,84,85,87,76,29,15,10,9,19,,9,,82,77,82,72,70,66,75,68,79,51,58,68,74,,47,37,44,,,,,,,,,32,29,35,21,16,24,21
SEA,Roc Taylor,WR,,,65,89,90,84,61,63,83,84,84,83,30,23,18,15,20,,18,,78,77,78,70,69,68,65,72,78,46,50,69,75,,47,28,39,,,,,,,,,32,31,34,26,24,28,20
SEA,Julius Welschof,LB,,,64,82,87,78,64,76,77,82,83,70,23,13,11,11,11,,10,,48,40,39,26,15,12,22,46,42,39,39,39,40,,44,45,77,,,,,,,,,76,76,78,61,37,45,27
SEA,Cameron McCutcheon,DB,,,64,89,91,83,63,64,87,86,83,82,28,13,11,9,13,,10,,67,58,65,32,23,19,31,61,65,41,43,61,68,,32,31,57,,,,,,,,,61,70,72,60,63,64,70
SEA,Kevin Foelsch,TE,,,64,84,88,81,59,73,83,84,86,77,33,23,18,14,17,,15,,79,76,78,65,59,54,65,73,72,67,65,62,67,,59,58,62,,,,,,,,,39,34,39,24,16,22,16
SEA,Quindell Johnson,DB,"6'0""",206,64,88,91,81,63,61,82,79,87,81,48,44,38,34,42,,33,,73,64,69,27,18,14,21,57,61,46,34,62,67,,30,25,63,,,,,,,,,64,84,68,62,66,63,71
SEA,Devin Harper,LB,"6'0""",234,63,89,91,87,57,70,77,94,75,81,15,6,6,6,6,,6,,58,40,49,25,14,10,25,56,65,55,53,52,65,,45,45,69,,,,,,,,,80,86,82,56,36,43,35
SEA,Max Hurleman,DB,,,63,89,91,84,57,60,86,86,83,83,27,13,11,10,13,,9,,67,59,64,32,24,20,30,59,67,37,40,63,70,,33,32,53,,,,,,,,,59,65,71,58,64,65,70
SEA,D'Shawn Jamison,DB,"5'9""",186,63,89,91,91,61,55,84,80,75,85,30,18,14,13,13,,11,,68,61,66,27,17,12,15,59,79,29,31,75,83,,35,30,39,,,,,,,,,48,53,67,56,67,63,59
SEA,Daryl Porter,DB,,,63,89,91,84,57,60,86,86,83,83,27,13,11,10,13,,9,,67,59,64,32,24,20,30,59,67,37,40,63,70,,33,32,53,,,,,,,,,59,65,71,58,64,65,70
SEA,Steven Jones,OL,,,63,66,69,57,64,87,77,72,84,50,23,11,9,8,8,,8,,26,19,20,15,8,7,16,30,21,30,26,16,17,,69,67,79,,,,,,,,,36,38,32,22,11,12,10
SEA,Nick Broeker,OL,"6'4""",305,63,63,74,60,72,81,85,68,81,56,25,10,8,6,6,,6,,35,30,33,24,19,18,15,42,24,30,21,23,24,,68,69,73,,,,,,,,,26,29,35,32,11,12,10
SEA,Doug Nester,OL,,,62,68,72,61,65,83,81,75,82,54,22,10,9,8,8,,8,,28,21,20,16,9,8,18,29,21,28,22,15,17,,67,67,78,,,,,,,,,33,36,31,24,12,13,10
SEA,Eku Leota,LB,"6'3""",252,62,82,86,77,59,75,79,82,85,71,25,12,11,10,11,,9,,50,39,40,21,15,11,21,47,42,38,40,35,42,,45,45,79,,,,,,,,,76,78,77,57,44,49,35
SEA,DJ Thomas-Jones,TE,,,61,83,87,77,55,75,81,80,84,72,28,22,16,11,16,,12,,75,70,71,63,58,52,57,74,70,66,64,55,63,,59,59,64,,,,,,,,,42,43,43,29,17,23,18
SEA,Gareth Warren,OL,,,61,66,71,60,61,85,82,77,86,55,19,8,8,7,7,,7,,27,21,20,17,9,8,17,29,20,32,24,16,17,,67,65,80,,,,,,,,,33,33,28,21,12,12,11
SEA,Kyler McMichael,DB,"6'0""",202,61,89,88,85,53,60,85,94,87,79,21,6,6,6,6,,6,,57,53,55,40,32,28,30,60,62,44,38,60,66,,35,35,48,,,,,,,,,63,74,72,55,62,65,79
SEA,JJ Galbreath,TE,,,60,85,87,79,53,72,82,83,84,74,31,22,16,11,17,,13,,76,73,77,62,57,52,59,73,72,64,62,57,65,,56,57,60,,,,,,,,,39,41,41,27,17,22,18
SEA,Aiden Williams,OL,,,60,66,72,60,62,84,82,75,86,56,19,9,8,7,8,,8,,28,20,20,17,10,9,16,28,19,29,22,14,15,,66,66,78,,,,,,,,,33,34,32,23,11,13,11
