Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
SF,Marquez Valdes-Scantling,WR,"6'4""",206,75,93,92,86,76,63,83,79,78,83,24,20,15,10,15,,10,,82,80,84,75,76,79,77,74,78,47,47,70,76,,53,32,53,,,,,,,,,29,22,30,19,10,17,14
SF,Tyreke Smith,LB,"6'3""",255,70,80,85,77,72,78,81,83,86,70,24,12,11,10,11,,10,,55,43,45,23,13,10,22,48,44,40,40,39,41,,44,46,83,,,,,,,,,80,82,80,71,45,54,35
SF,Damien Martinez,RB,"6'0""",217,70,89,91,78,68,74,85,82,90,74,26,16,23,19,23,,31,,64,56,52,55,51,46,45,92,80,83,80,75,78,,42,46,49,,,,,,,,,41,38,41,33,24,29,24
SF,Zach Triner,LS,,,69,79,78,69,52,64,82,48,68,54,41,36,29,25,22,,18,,40,13,14,14,10,14,15,36,18,24,19,17,18,,17,20,19,,,,,,,,,29,20,30,12,17,14,10
SF,Tyler Hall,DB,"5'10""",190,69,91,86,83,68,56,86,90,81,83,31,6,6,6,6,,6,,61,60,63,35,26,23,24,57,72,38,42,71,78,,35,35,52,,,,,,,,,58,64,75,71,73,71,70
SF,Steven Sims,WR,"5'10""",176,68,90,92,85,68,53,81,77,84,82,34,28,23,15,24,,13,,79,76,79,72,71,69,67,70,79,39,40,72,80,,46,40,46,,,,,,,,,24,26,33,18,13,25,18
SF,Ricky White III,WR,"6'1""",181,67,89,91,79,70,65,88,86,87,77,20,14,21,26,9,,23,,78,80,81,71,70,69,72,72,80,50,50,72,75,,53,24,47,,,,,,,,,46,35,42,42,55,53,28
SF,Shemar Jean-Charles,DB,"5'10""",184,67,88,87,84,69,61,86,84,69,85,23,6,6,6,6,,6,,56,54,62,29,24,21,28,54,60,31,29,65,73,,35,35,39,,,,,,,,,53,42,69,71,70,65,67
SF,Anthony Tyus,RB,,,67,89,91,85,61,71,86,87,85,84,32,23,20,19,25,,21,,66,59,60,62,56,49,51,85,78,72,72,73,80,,42,54,41,,,,,,,,,36,32,34,24,19,24,20
SF,Jacardia Wright,RB,,,67,89,90,84,64,71,85,86,84,83,34,25,22,20,26,,22,,66,58,59,63,57,49,51,85,77,72,71,73,80,,40,54,40,,,,,,,,,36,32,35,24,18,23,20
SF,Justin Rogers,DL,,,67,66,72,60,67,87,70,66,83,52,21,9,10,8,8,,10,,31,21,21,18,13,9,16,34,27,41,36,17,20,,50,50,92,,,,,,,,,80,81,78,68,12,18,5
SF,Kenneth Odumegwu,LB,,,66,83,86,78,66,76,77,85,82,70,22,12,11,10,11,,10,,49,42,45,24,15,12,21,44,42,39,41,44,46,,44,46,81,,,,,,,,,76,77,79,63,42,49,32
SF,Sataoa Laumea,OL,"6'4""",311,66,67,70,66,68,84,83,66,93,55,22,18,15,11,6,,9,,41,15,15,15,5,5,19,44,10,25,30,10,10,,70,65,83,,,,,,,,,40,49,39,25,12,11,11
SF,Damarion Williams,DB,"5'10""",180,66,88,93,83,62,57,91,83,85,90,32,15,12,10,14,,6,,64,55,59,42,34,31,29,58,71,31,30,68,78,,32,30,43,,,,,,,,,57,56,76,66,65,67,66
SF,Tyrone Broden,WR,,,65,89,90,83,62,62,83,85,84,82,30,24,18,15,21,,17,,78,77,77,70,70,69,65,71,77,47,49,69,75,,46,27,40,,,,,,,,,31,29,33,25,23,28,21
SF,Marshall Lang,TE,,,64,85,88,80,56,72,84,86,84,75,33,24,18,15,19,,15,,78,79,81,64,59,54,66,72,72,66,63,62,69,,60,59,63,,,,,,,,,39,35,38,25,18,22,16
