Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
TB,Jordan Whitehead,DB,,,78,89,91,86,83,67,91,87,86,85,27,14,13,11,14,,10,,72,54,65,33,25,20,30,62,68,36,41,66,75,,33,33,61,,,,,,,,,68,72,76,82,73,75,71
TB,William Gholston,DL,,,76,73,75,71,91,83,78,68,87,57,24,11,10,10,9,,9,,35,25,27,19,11,8,19,41,30,37,32,22,26,,48,49,92,,,,,,,,,83,77,82,88,27,36,22
TB,Bryce Hall,DB,"6'1""",202,73,89,90,84,77,57,87,90,83,82,35,6,6,6,6,,6,,70,66,72,59,54,50,45,64,67,45,43,62,71,,35,35,53,,,,,,,,,65,57,69,75,72,73,78
TB,Jake Julien,P,,,73,77,79,66,56,54,83,75,71,54,40,35,31,26,22,,19,,35,15,17,13,13,12,14,38,23,19,17,19,23,,17,16,18,,,,,,,,,31,27,30,18,12,17,11
TB,Shaquil Barrett,LB,,,71,80,82,76,78,74,79,78,85,64,26,10,10,9,10,,9,,50,33,38,19,13,10,26,52,31,31,38,29,39,,47,44,84,,,,,,,,,78,78,81,72,53,55,42
TB,Troy Hill,DB,,,70,86,90,85,79,59,87,82,77,82,29,12,11,10,10,,8,,67,51,66,32,23,18,31,62,65,34,38,68,72,,33,33,54,,,,,,,,,55,56,69,77,68,67,65
TB,Adam Gotsis,DL,"6'4""",290,70,74,74,62,71,82,76,79,81,52,23,6,6,6,6,,6,,39,14,16,13,6,3,15,43,23,40,30,17,20,,44,44,86,,,,,,,,,79,81,78,73,18,26,13
TB,Jacob Harris,WR,,,70,90,92,87,67,66,81,92,82,80,32,23,18,16,20,,14,,80,79,85,69,69,68,78,76,75,53,62,66,71,,54,35,51,,,,,,,,,34,29,39,18,21,22,18
TB,Owen Wright,RB,,,70,89,90,84,73,72,85,85,85,83,33,27,23,18,24,,18,,66,57,57,64,57,49,50,87,78,73,71,72,79,,38,55,40,,,,,,,,,35,33,36,21,19,23,20
TB,Rakim Jarrett,WR,"6'0""",190,68,91,90,86,67,65,82,83,90,83,21,15,10,6,10,,6,,80,74,77,72,71,70,70,72,83,48,59,69,72,,53,32,46,,,,,,,,,27,27,32,14,15,24,10
