Team,Player,Position,Height,Weight,Overall,Speed,Acceleration,Agility,Awareness,Strength,Stamina,Jumping,Toughness,Change of Direction,Throw Power,Short Accuracy,Mid Accuracy,Deep Accuracy,Throw on Run,Throw Under Pressure,Play Action,Break Sack,Catching,Catch in Traffic,Spectacular Catch,Short Routes,Mid Routes,Deep Routes,Release,Carrying,Ball Carrier Vision,Trucking,Stiff Arm,Spin Move,Juke Move,Break Tackle,Run Blocking,Pass Blocking,Impact Blocking,Lead Block,Run Block Finesse,Run Block Power,Pass Block Finesse,Pass Block Power,Finesse Moves,Power Moves,Block Shedding,Tackle,Hit Power,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Press
WAS,Austin Seibert,K,,,78,76,78,62,59,46,84,62,71,51,36,35,28,23,21,,18,,34,13,14,14,13,12,14,38,21,18,16,18,21,,17,17,15,,,,,,,,,34,22,35,17,15,14,10
WAS,Jamison Crowder,WR,,,73,88,90,88,81,50,83,84,80,86,31,26,21,15,20,,12,,83,77,80,73,72,72,66,71,84,38,48,78,85,,46,26,40,,,,,,,,,27,20,39,23,20,28,17
WAS,Demetric Felton,RB,"5'9""",190,72,91,92,88,74,64,85,87,81,86,31,29,24,18,23,,18,,68,57,57,65,58,49,53,86,79,60,63,77,84,,32,50,33,,,,,,,,,31,24,34,21,18,23,19
WAS,K.J. Osborn,WR,"5'11""",203,72,89,90,82,76,64,88,87,80,78,29,15,10,6,16,,6,,86,78,83,76,75,73,74,75,81,50,53,74,79,,47,37,45,,,,,,,,,39,35,41,14,12,17,16
WAS,Michael Gallup,WR,"6'1""",198,72,88,87,86,75,68,87,93,85,81,25,20,15,10,10,,10,,83,82,84,73,73,75,76,77,85,47,77,76,81,,48,28,44,,,,,,,,,32,28,31,17,15,20,13
WAS,Michael Wiley,RB,,,69,90,91,86,67,70,87,85,86,84,32,25,21,17,24,,20,,67,58,57,64,57,49,51,86,78,71,72,73,80,,37,53,40,,,,,,,,,35,34,37,22,18,23,19
WAS,Kazmeir Allen,RB,,,68,92,93,90,65,58,85,88,78,88,30,26,22,16,22,,19,,68,59,61,64,58,50,52,82,76,50,55,76,85,,29,46,29,,,,,,,,,29,23,31,20,18,23,20
WAS,Carl Davis,DL,"6'5""",320,68,68,71,54,73,88,72,79,75,50,25,6,6,6,6,,6,,34,15,15,15,7,4,17,45,10,25,10,10,10,,45,45,80,,,,,,,,,79,77,74,73,15,25,22
WAS,Viliami Fehoko Jr.,DL,,,67,80,82,74,64,80,76,82,83,63,23,9,9,8,9,,9,,40,29,31,19,13,9,20,41,36,38,37,30,35,,44,43,89,,,,,,,,,78,83,79,63,28,36,25
WAS,Dominique Hampton,DB,"6'3""",220,67,89,90,83,62,68,87,89,86,81,27,15,11,10,13,,13,,69,62,68,32,24,20,28,63,62,49,51,56,63,,34,34,61,,,,,,,,,71,86,76,61,59,66,71
WAS,Michael Deiter,OL,"6'6""",315,66,69,66,56,78,86,85,70,83,52,22,6,6,6,6,,6,,30,21,25,16,11,10,14,40,10,25,15,10,10,,68,71,81,,,,,,,,,38,33,36,38,15,20,10
WAS,Kevon Seymour,DB,"6'0""",188,66,89,88,85,67,62,88,84,68,84,25,6,6,6,6,,6,,60,29,63,20,13,10,12,58,63,25,31,67,72,,18,10,45,,,,,,,,,47,53,62,68,66,61,76
WAS,Braylon Sanders,WR,,,66,89,91,85,62,60,81,82,81,83,32,23,19,15,21,,17,,79,76,78,70,70,69,67,71,77,42,49,70,76,,45,30,41,,,,,,,,,32,28,34,24,22,27,19
WAS,Tyre Phillips,OL,,,66,62,66,55,77,85,83,70,89,49,21,8,8,7,7,,7,,32,18,17,18,9,8,13,30,19,31,22,15,15,,69,66,84,,,,,,,,,36,33,30,20,11,12,10
WAS,Mike Strachan,WR,"6'5""",224,66,87,91,84,72,72,81,85,80,74,25,20,15,10,12,,10,,79,79,79,70,68,65,67,74,76,50,52,65,71,,45,29,40,,,,,,,,,28,22,30,17,11,18,23
WAS,Lawrence Cager,TE,"6'5""",220,65,87,88,77,57,69,80,81,79,73,29,20,15,10,21,,19,,78,77,79,64,61,57,63,75,75,54,63,68,74,,57,51,52,,,,,,,,,31,28,30,16,12,17,16
WAS,Julian Good-Jones,OL,,,65,66,69,60,73,84,81,70,83,50,23,9,9,8,8,,8,,29,20,20,16,8,6,18,34,19,27,22,15,16,,69,69,80,,,,,,,,,34,33,33,24,12,14,10
WAS,Jacoby Jones,WR,,,65,87,88,82,54,74,86,85,86,79,31,23,18,14,19,,15,,82,81,84,71,69,67,74,73,78,57,66,67,73,,57,40,52,,,,,,,,,37,32,36,22,19,25,22
