id,image
jeremiyah-love,"https://www.maddenratings.com/wp-content/uploads/jeremiyah-love-16370.png"
josh-sweat,"https://www.maddenratings.com/wp-content/uploads/josh-sweat-13259-madden-photo.png"
hjalte-froholdt,"https://www.maddenratings.com/wp-content/uploads/hjalte-froholdt-20377-madden-photo.png"
trey-mcbride,"https://www.maddenratings.com/wp-content/uploads/trey-mcbride-22093-madden-photo.png"
budda-baker,"https://www.maddenratings.com/wp-content/uploads/budda-baker-12549-madden-photo.png"
michael-wilson,"https://www.maddenratings.com/wp-content/uploads/michael-wilson-22810-madden-photo.png"
paris-johnson-jr,"https://www.maddenratings.com/wp-content/uploads/paris-johnson-jr-22699-madden-photo.png"
isaac-seumalo,"https://www.maddenratings.com/wp-content/uploads/isaac-seumalo-17776-madden-photo.png"
walter-nolen,"https://www.maddenratings.com/wp-content/uploads/walter-nolen-15235-madden-photo.png"
james-conner,"https://www.maddenratings.com/wp-content/uploads/james-conner-12664-madden-photo.png"
marvin-harrison-jr,"https://www.maddenratings.com/wp-content/uploads/marvin-harrison-jr-14643-madden-photo.png"
garrett-williams,"https://www.maddenratings.com/wp-content/uploads/garrett-williams-23028-madden-photo.png"
tyler-allgeier,"https://www.maddenratings.com/wp-content/uploads/tyler-allgeier-22315-madden-photo.png"
mack-wilson,"https://www.maddenratings.com/wp-content/uploads/mack-wilson-sr-20582-madden-photo.png"
kendrick-bourne,"https://www.maddenratings.com/wp-content/uploads/kendrick-bourne-12998-madden-photo.png"
sean-murphy-bunting,"https://www.maddenratings.com/wp-content/uploads/sean-murphy-bunting-20608-madden-photo.png"
will-johnson,"https://www.maddenratings.com/wp-content/uploads/will-johnson-4685408-madden-photo.png"
trey-benson,"https://www.maddenratings.com/wp-content/uploads/trey-benson-14622-madden-photo.png"
andrew-wingard,"https://www.maddenratings.com/wp-content/uploads/andrew-wingard-20631-madden-photo.png"
zaven-collins,"https://www.maddenratings.com/wp-content/uploads/zaven-collins-21495-madden-photo.png"
chad-ryland,"https://www.maddenratings.com/wp-content/uploads/chad-ryland-23110-madden-photo.png"
chase-bisontis,"https://www.maddenratings.com/wp-content/uploads/chase-bisontis-16419.png"
blake-gillikin,"https://www.maddenratings.com/wp-content/uploads/blake-gillikin-21407-madden-photo.png"
keitrel-clark,"https://www.maddenratings.com/wp-content/uploads/keitrel-clark-23054-madden-photo.png"
devin-duvernay,"https://www.maddenratings.com/wp-content/uploads/devin-duvernay-21071-madden-photo.png"
max-melton,"https://www.maddenratings.com/wp-content/uploads/max-melton-14953-madden-photo.png"
andrew-billings,"https://www.maddenratings.com/wp-content/uploads/andrew-billings-17655-madden-photo.png"
bj-ojulari,"https://www.maddenratings.com/wp-content/uploads/bj-ojulari-22701-madden-photo.png"
isaiah-oliver,"https://www.maddenratings.com/wp-content/uploads/isaiah-oliver-13105-madden-photo.png"
baron-browning,"https://www.maddenratings.com/wp-content/uploads/baron-browning-21677-madden-photo.png"
jack-gibbens,"https://www.maddenratings.com/wp-content/uploads/jack-gibbens-22678-madden-photo.png"
dadrion-taylor-demerson,"https://www.maddenratings.com/wp-content/uploads/dadrion-taylor-demerson-15000-madden-photo.png"
