"college","dataSource","draftClass","image","name","nationality","ovr","position","realLifeRosterStatus","team","url"
"Virginia Tech","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/amare-barno.png","Amare Barno","United States","64","LB","free_agent","Free Agent","https://www.maddenratings.com/amare-barno"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/Andrew-Farmer-II.png","Andrew Farmer II","United States","66","LB","free_agent","Free Agent","https://www.maddenratings.com/andrew-farmer-ii"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/adrian-colbert.png","Adrian Colbert","United States","68","DB","free_agent","Free Agent","https://www.maddenratings.com/adrian-colbert"
"Georgia Tech","Madden NFL 26 (backfilled)","2016","https://www.maddenratings.com/wp-content/uploads/adam-gotsis-17740-madden-photo.png","Adam Gotsis","Australia","70","DL","free_agent","Free Agent","https://www.maddenratings.com/adam-gotsis"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/allan-george-22630-madden-photo.png","Allan George","United States","64","DB","free_agent","Free Agent","https://www.maddenratings.com/allan-george"
"Florida","placeholder — no rating source found","2023","https://www.maddenratings.com/wp-content/uploads/amari-burney-23065-madden-photo.png","Amari Burney","United States","","","free_agent","Free Agent","https://www.maddenratings.com/amari-burney"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/anfernee-orji-23138-madden-photo.png","Anfernee Orji","United States","","","assigned","New York Giants","https://www.maddenratings.com/anfernee-orji"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/alec-lindstrom-22120-madden-photo.png","Alec Lindstrom","United States","61","OL","free_agent","Free Agent","https://www.maddenratings.com/alec-lindstrom"
"Utah","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/braeden-daniels-22909-madden-photo.png","Braeden Daniels","United States","67","OL","free_agent","Free Agent","https://www.maddenratings.com/braeden-daniels"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/anthony-kendall-23357-madden-photo.png","Anthony Kendall","United States","61","DB","free_agent","Free Agent","https://www.maddenratings.com/anthony-kendall"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/brandon-johnson-22673-madden-photo.png","Brandon Johnson","United States","63","DB","assigned","Las Vegas Raiders","https://www.maddenratings.com/brandon-johnson"
"Pittsburgh","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/carter-warren-22866-madden-photo.png","Carter Warren","United States","66","OL","assigned","Miami Dolphins","https://www.maddenratings.com/carter-warren"
"Washburn","Madden NFL 26 (backfilled)","2019","https://www.maddenratings.com/wp-content/uploads/corey-ballentine-20454-madden-photo.png","Corey Ballentine","Jamaica","70","DB","assigned","Jacksonville Jaguars","https://www.maddenratings.com/corey-ballentine"
"Appalachian State","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/cooper-hodges.png","Cooper Hodges","United States","62","OL","free_agent","Free Agent","https://www.maddenratings.com/cooper-hodges"
