name,position,tier,filename,source_page,source_image_url,creator,license,license_url,rights_status,notes
Aaron Donald,DT,immortal,aaron_donald.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Abner Haynes,HB,legend,abner_haynes.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Adrian Peterson,HB,immortal,adrian_peterson.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Al Del Greco,K,legend,al_del_greco.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Alan Ameche,FB,legend,alan_ameche.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Alan Page,DT,immortal,alan_page.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Albert Lewis,DB,legend,albert_lewis.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Alvin Harper,WR,legend,alvin_harper.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Amari Cooper,WR,legend,amari_cooper.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Andre Johnson,WR,immortal,andre_johnson.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Andre Reed,WR,immortal,andre_reed.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Andre Ware,QB,legend,andre_ware.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Anthony Carter,WR,legend,anthony_carter.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Anthony Munoz,LT,immortal,anthony_munoz.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Antonio Gates,TE,immortal,antonio_gates.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Archie Griffin,HB,legend,archie_griffin.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Archie Manning,QB,legend,archie_manning.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Art Donovan,DL,immortal,art_donovan.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Baker Mayfield,QB,legend,baker_mayfield.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Barrett Jones,C,legend,barrett_jones.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Barry Foster,HB,legend,barry_foster.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Barry Sanders,HB,immortal,barry_sanders.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Bart Starr,QB,immortal,bart_starr.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Ben Coates,TE,legend,ben_coates.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Ben Roethlisberger,QB,immortal,ben_roethlisberger.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Bernie Kosar,QB,legend,bernie_kosar.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Bill Curry,OL,legend,bill_curry.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Bill Fralic,OL,legend,bill_fralic.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Bill Wade,QB,legend,bill_wade.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Billy Joe Dupree,TE,legend,billy_joe_dupree.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Billy Sims,HB,legend,billy_sims.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Bo Jackson,HB,immortal,bo_jackson.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Bob Brown,OL,immortal,bob_brown.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Bob Lilly,DT,immortal,bob_lilly.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Bob St. Clair,OL,legend,bob_st_clair.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Bobby Hebert,QB,legend,bobby_hebert.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
Bobby Mitchell,WR,legend,bobby_mitchell.png,,,,No image located,,missing_placeholder,A labeled placeholder is included so every roster filename is present. No player photo was redistributed. Error: HTTP Error 403: Forbidden
