name,pos,tier,ovr,file
Keith Millard,DL,immortal,89.0,keith_millard.png
Hugh McElhenny,HB,immortal,89.0,hugh_mcelhenny.png
Jim Brown,HB,immortal,90.5,jim_brown.png
LaDainian Tomlinson,HB,immortal,90.0,ladainian_tomlinson.png
Lenny Moore,HB,immortal,89.0,lenny_moore.png
Leroy Kelly,HB,immortal,90.2,leroy_kelly.png
Marcus Allen,HB,immortal,90.2,marcus_allen.png
Marshall Faulk,HB,immortal,90.2,marshall_faulk.png
O.J. Simpson,HB,immortal,90.2,oj_simpson.png
Ottis Anderson,HB,immortal,89.0,ottis_anderson.png
Paul Hornung,HB,immortal,90.2,paul_hornung.png
Ricky Watters,HB,immortal,89.0,ricky_watters.png
Roger Craig,HB,immortal,89.0,roger_craig.png
Thurman Thomas,HB,immortal,90.2,thurman_thomas.png
Tony Dorsett,HB,immortal,90.5,tony_dorsett.png
Walter Payton,HB,immortal,91.0,walter_payton.png
Jan Stenerud,K,immortal,89.0,jan_stenerud.png
Chuck Bednarik,LB,immortal,89.0,chuck_bednarik.png
Dave Wilcox,LB,immortal,90.2,dave_wilcox.png
Derrick Thomas,LB,immortal,90.2,derrick_thomas.png
Greg Lloyd,LB,immortal,89.0,greg_lloyd.png
Harry Carson,LB,immortal,89.0,harry_carson.png
Joe Schmidt,LB,immortal,90.2,joe_schmidt.png
John Hannah,LG,immortal,90.2,john_hannah.png
Larry Allen,LG,immortal,91.0,larry_allen.png
Jack Ham,LOLB,immortal,90.2,jack_ham.png
Ted Hendricks,LOLB,immortal,90.2,ted_hendricks.png
Anthony Munoz,LT,immortal,93.0,anthony_munoz.png
Jim Parker,LT,immortal,91.0,jim_parker.png
Joe Thomas,LT,immortal,91.0,joe_thomas.png
Jonathan Ogden,LT,immortal,93.0,jonathan_ogden.png
Orlando Pace,LT,immortal,92.0,orlando_pace.png
Dick Butkus,MLB,immortal,90.2,dick_butkus.png
Jack Lambert,MLB,immortal,90.0,jack_lambert.png
Luke Kuechly,MLB,immortal,90.0,luke_kuechly.png
Mike Singletary,MLB,immortal,90.0,mike_singletary.png
Patrick Willis,MLB,immortal,91.0,patrick_willis.png
Ray Lewis,MLB,immortal,91.0,ray_lewis.png
Bob Brown,OL,immortal,90.2,bob_brown.png
